,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,8,グランデセイフウ,牡4,56,西川敏弘,1:26.3,,28.6,4.0,490(-1),[地] 大関吉明
1,2,1,1,サプライズ,牡4,56,西山裕貴,1:26.4,1/2,3.4,2.0,471(-2),[地] 松木啓助
2,3,4,4,テラモガルダン,牡6,53,下村瑠衣,1:26.4,ハナ,65.4,8.0,490(-10),[地] 那俄性哲
3,4,6,6,バウンサー,牡5,56,宮川実,1:27.1,3,32.3,5.0,510(0),[地] 打越勇児
4,5,5,5,クロクモ,セ4,56,赤岡修次,1:27.3,1,1.3,1.0,457(+1),[地] 雑賀正光
5,6,6,7,スウィングベル,牝6,54,中西達也,1:27.6,1.1/2,139.0,9.0,484(-6),[地] 松木啓助
6,7,3,3,ペニーウエイト,牝4,53,山中悠希,1:27.8,3/4,49.5,6.0,474(0),[地] 雑賀正光
7,8,7,9,ロマンタッチ,牡11,55,別府真衣,1:28.2,2,55.6,7.0,465(+1),[地] 打越勇児
8,9,8,10,ストロングジョイス,牝8,51,江里口裕,1:28.7,2.1/2,9.8,3.0,458(+3),[地] 胡本友晴
9,10,8,11,サントゥール,牝7,54,岡村卓弥,1:29.5,4,317.7,10.0,447(+5),[地] 雑賀秀介
10,取,2,2,ビックリタイザン,牡6,56,上田将司,,,---,,計不,[地] 国沢輝幸
