,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,7,13,タガノボーディング,牡3,54,岩田康誠,1:35.4,,7.0,3,480(+4),[西] 松田博資
1,2,3,5,スペラーレ,牡4,57,上村洋行,1:35.5,1/2,38.8,10,506(+2),[西] 池江泰寿
2,3,5,9,マヤラブハート,牝3,49,田中克典,1:35.7,1.1/4,33.7,8,442(-4),[西] 大橋勇樹
3,4,1,2,リアルコンコルド,牡4,57,福永祐一,1:35.7,クビ,4.5,2,486(0),[西] 音無秀孝
4,5,3,6,ダノンヒーロー,牡5,54,中村将之,1:36.0,1.3/4,149.1,18,454(0),[西] 田島良保
5,6,6,11,マイネエストレヤ,牝4,55,幸英明,1:36.2,1.1/4,13.5,5,412(+2),[西] 服部利之
6,7,7,14,ズームトウショウ,牝3,52,佐藤哲三,1:36.3,1/2,48.7,13,456(0),[西] 坪憲章
7,8,8,17,ストローズティック,牡4,57,橋本美純,1:36.3,ハナ,11.9,4,472(+6),[西] 野村彰彦
8,9,8,18,ミスタージャガー,牡5,57,石山繁,1:36.3,クビ,73.1,16,520(-4),[西] 浜田光正
9,10,8,16,フリースタイル,牡5,57,熊沢重文,1:36.4,クビ,128.1,17,530(-10),[西] 加用正
10,11,5,10,アフリカンビート,牡4,57,武豊,1:36.5,1/2,2.4,1,524(+6),[西] 森秀行
11,12,2,3,クラシックローズ,牝5,55,小牧太,1:36.5,ハナ,16.8,6,450(+14),[西] 橋口弘次
12,13,6,12,タイキカムイ,牡4,57,安部幸夫,1:36.7,1.1/2,43.7,11,454(+24),[西] 松元茂樹
13,14,4,7,タイセイガイア,牝3,51,鮫島良太,1:36.9,1.1/4,47.8,12,448(-2),[西] 古川平
14,15,4,8,サンアントニオ,牡3,54,赤木高太,1:37.0,1/2,38.1,9,474(0),[西] 湯浅三郎
15,16,2,4,ツモルランサー,牡5,54,上野翔,1:37.1,クビ,50.6,14,470(+2),[西] 野元昭
16,17,1,1,コンバットシャトル,牡4,57,川島信二,1:37.1,クビ,19.7,7,480(-4),[西] 安藤正敏
17,18,7,15,キラーストリート,牝3,52,渡辺薫彦,1:37.3,1,67.8,15,412(+6),[西] 河内洋
