,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,6,バンブーエール,牡5,57.5,三浦皇成,1:22.7,,6.1,2,478(-6),[西] 安達昭夫
1,2,7,13,ユビキタス,牡3,55.0,安藤勝己,1:23.1,2.1/2,1.4,1,562(+2),[東] 鈴木伸尋
2,3,8,16,ダンディズム,牡6,53.0,内田博幸,1:23.2,クビ,78.0,11,474(-4),[西] 藤原英昭
3,4,2,3,ダンツキッスイ,牡3,54.0,藤田伸二,1:23.3,3/4,19.9,4,512(+2),[西] 本田優
4,5,1,2,タイキエニグマ,牡7,56.0,丹内祐次,1:23.5,1.1/4,138.3,15,510(0),[東] 清水美波
5,6,1,1,メイショウサライ,牡7,56.0,横山典弘,1:23.6,1/2,24.4,6,458(-12),[西] 増本豊
6,7,4,8,ゼンノコーラル,牡7,55.0,北村宏司,1:23.7,クビ,95.0,12,490(-2),[西] 中竹和也
7,8,5,10,ウォーターオーレ,牡6,51.0,丸田恭介,1:23.7,ハナ,167.8,16,534(-10),[西] 鮫島一歩
8,9,3,5,サンライズレクサス,牡5,53.0,吉田隼人,1:23.9,1.1/4,134.8,14,448(-8),[西] 石坂正
9,10,7,14,ベストオブミー,牝3,51.0,吉田豊,1:24.2,1.3/4,21.7,5,446(+2),[西] 鮫島一歩
10,11,6,11,ラピッドオレンジ,牝5,52.0,田中博康,1:24.2,クビ,127.9,13,468(+4),[東] 小笠倫弘
11,12,5,9,オフィサー,牡6,55.0,柴田善臣,1:24.2,アタマ,37.5,7,496(-6),[西] 森秀行
12,13,4,7,ハートオブクィーン,牝3,51.0,大野拓弥,1:24.5,2,63.2,8,468(0),[東] 水野貴広
13,14,6,12,ジーンハンター,牡6,53.0,柴山雄一,1:24.6,クビ,69.1,9,526(-4),[西] 松元茂樹
14,15,2,4,ベルーガ,牡7,54.0,蛯名正義,1:24.7,1/2,69.3,10,514(+2),[東] 尾形充弘
15,16,8,15,スプリングソング,牡3,54.0,中舘英二,1:25.3,3.1/2,12.5,3,504(0),[西] 鶴留明雄
