,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,6,11,ケイアイパープル,牡4,54,中井裕二,1:51.4,,7.3,3,510(+8),[西] 村山明
1,2,5,9,アヴァンセ,牡4,54,幸英明,1:51.5,3/4,14.2,7,482(+10),[西] 吉村圭司
2,3,3,5,スペクター,牝6,52,小牧太,1:52.2,4,11.2,6,520(+6),[西] 笹田和秀
3,4,8,16,ハギノアトラス,牡4,55,藤岡佑介,1:52.3,1/2,4.2,1,492(-12),[西] 鮫島一歩
4,5,2,3,タガノボンバー,セ5,55,菱田裕二,1:52.5,1.1/4,21.7,11,488(-2),[西] 河内洋
5,6,4,7,クレスコブレイブ,牡6,54,加藤祥太,1:52.6,クビ,16.0,8,530(-8),[西] 飯田雄三
6,7,7,13,チャチャチャ,牝4,52,川島信二,1:52.7,1/2,22.5,12,444(0),[西] 松田国英
7,8,3,6,キタサンタイドー,牡5,54,吉田隼人,1:52.9,1.1/2,18.1,9,520(+10),[西] 清水久詞
8,9,7,14,エンダウメント,牡4,55,勝浦正樹,1:53.0,1/2,20.1,10,522(+4),[西] 角田晃一
9,10,1,2,アイファーキングズ,牡4,56,柴山雄一,1:53.0,ハナ,8.6,5,500(0),[西] 鮫島一歩
10,11,6,12,ストーミーバローズ,牡5,55,川又賢治,1:53.0,ハナ,8.5,4,472(-2),[西] 石坂正
11,12,5,10,メイショウササユリ,牝6,54,蛯名正義,1:53.1,1/2,36.7,13,514(-2),[西] 松永幹夫
12,13,1,1,ウラノメトリア,セ4,56,川須栄彦,1:53.2,クビ,5.6,2,500(+14),[西] 矢作芳人
13,14,2,4,タガノファジョーロ,牡4,54,鮫島良太,1:53.5,1.3/4,88.3,14,458(0),[西] 角田晃一
14,15,4,8,マイハートビート,牡5,56,斎藤新,1:53.5,ハナ,100.8,15,454(0),[西] 高橋義忠
15,16,8,15,キーグラウンド,牡6,55,亀田温心,1:53.5,クビ,259.6,16,500(+20),[西] 宮徹
