,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,2,スターキングマン,牡4,55,村田一誠,1:23.8,,4.2,1,478(0),[西] 森秀行
1,2,5,9,タニノゴードン,牡6,55,幸英明,1:24.2,2.1/2,5.0,3,508(+2),[西] 大根田裕
2,3,8,16,オーシャンアクロス,牡5,55,後藤浩輝,1:24.4,1.1/2,33.8,10,546(0),[西] 中竹和也
3,4,2,3,シャドウスケイプ,牡4,55,江田照男,1:24.5,クビ,22.8,8,448(-2),[西] 森秀行
4,5,1,1,マンボツイスト,牡8,61,木幡初広,1:24.9,2.1/2,104.3,15,500(+33),[西] 古川平
5,6,2,4,タイキリオン,牡4,55,オリヴァ,1:25.1,1.1/4,35.7,11,470(-4),[東] 田中清隆
6,7,6,12,サンキンヘイロー,牡5,55,Ｍデムー,1:25.1,アタマ,4.4,2,506(0),[西] 石坂正
7,8,4,7,タイムパラドックス,牡5,55,橋本美純,1:25.1,クビ,7.7,5,442(+4),[西] 松田博資
8,9,3,5,インタータイヨウ,牡4,58,秋山真一,1:25.1,アタマ,19.8,6,462(-6),[西] 野村彰彦
9,10,7,14,スピニングアロー,牡5,55,武幸四郎,1:25.4,1.3/4,21.1,7,486(+4),[西] 小野幸治
10,11,5,10,ツルマルファイター,牡4,55,柴田善臣,1:25.6,1.1/4,6.4,4,474(+6),[西] 橋口弘次
11,12,6,11,リンガスローレル,牝4,53,梶晃啓,1:25.6,ハナ,25.9,9,452(-2),[東] 境征勝
12,13,3,6,シンコウスプレンダ,牡9,60,菊沢隆徳,1:25.6,クビ,36.0,12,502(+2),[東] 古賀史生
13,14,8,15,キタサンチャンネル,牡5,55,北村宏司,1:25.9,1.3/4,49.1,13,490(0),[西] 橋口弘次
14,15,7,13,ノムラリューオー,牡4,56,二本柳壮,1:27.7,大,197.9,16,510(0),[東] 増沢末夫
15,16,4,8,ダブルハピネス,牡6,56,小野次郎,1:28.5,5,52.8,14,520(-8),[西] 柴田政見
