,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,11,ストロングブラッド,牡5,57,北村宏司,1:32.2,,---,2,493(-3),[東] 増沢末夫
1,2,6,7,プリサイスマシーン,牡5,57,後藤浩輝,1:32.7,2.1/2,---,1,476(-6),[東] 萩原清
2,3,8,12,タイガーロータリー,牡4,56,水野貴史,1:32.9,1,---,6,481(-6),[地] 川嶋弘吉
3,4,2,2,ノボジャック,牡7,59,武豊,1:33.2,1.1/2,---,3,486(+6),[西] 森秀行
4,5,6,8,タワリングドリーム,セ8,56,木村芳晃,1:33.5,1.1/2,---,7,502(-3),[地] 森山英雄
5,6,7,10,トーシンブリザード,牡6,59,山田信大,1:33.7,1,---,5,491(-3),[地] 佐藤賢二
6,7,1,1,シベリアンホーク,牡4,56,江田照男,1:34.0,1.1/2,---,4,491(-5),[東] 手塚貴久
7,8,3,3,ブラボーオペラ,牡5,56,福元弘二,1:34.3,1.1/2,---,10,477(+3),[地] 川嶋弘吉
8,9,7,9,ジーナ,牝7,54,矢野貴之,1:34.4,クビ,---,11,480(-1),[地] 野村正直
9,10,5,6,エイシンダンズビル,牡7,56,細川勉,1:34.4,クビ,---,9,502(0),[地] 川村守男
10,11,4,4,クールアイバー,牡6,56,森下博,1:34.6,1,---,8,443(-8),[地] 高柳恒男
11,12,5,5,ユウキュウ,牡5,56,清家義徳,1:36.8,大,---,12,501(-3),[地] 角田輝也
