,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,シェダル,牡5,58.5,吉村智洋,1:49.9,,1.4,1,513(-7),[地] 長南和宏
1,2,7,7,テーオーエナジー,牡7,56.5,田中学,1:50.1,1.1/2,21.7,4,505(+3),[地] 橋本忠明
2,3,6,6,フーズサイド,牡6,54.0,廣瀬航,1:50.6,3,31.4,5,496(-6),[地] 北野真弘
3,4,8,9,アワジノサクラ,牡6,54.0,大柿一真,1:50.7,1/2,185.6,9,497(-4),[地] 北野真弘
4,5,2,2,デンコウハピネス,牝6,52.0,杉浦健太,1:51.3,3.1/2,73.5,7,460(0),[地] 尾林幸二
5,6,3,3,エイシンナセル,牡10,54.0,松木大地,1:51.4,3/4,342.4,10,479(-5),[地] 北野真弘
6,7,7,8,メイプルブラザー,牡8,55.0,永井孝典,1:51.7,2,15.6,3,483(-8),[地] 大山寿文
7,8,4,4,ヒダルマ,牡7,55.0,川原正一,1:51.9,3/4,125.6,8,498(0),[地] 柏原誠路
8,9,8,10,エイシンダンシャク,牡5,55.5,大山龍太,1:51.9,クビ,66.0,6,463(-3),[地] 坂本和也
9,10,5,5,タガノウィリアム,牡5,56.0,笹田知宏,1:52.5,3.1/2,2.5,2,495(0),[地] 新子雅司
