,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,ドリームマジシャン,牡6,56,尾島徹,2:04.5,,1.4,1,503(+2),[地] 伊藤強一
1,2,5,5,ドリームカトラス,牡6,56,岡部誠,2:04.6,1/2,3.0,2,461(-1),[地] 伊藤強一
2,3,3,3,タッチデュール,牝4,54,東川公則,2:05.2,3,8.1,3,439(+4),[地] 笹野博司
3,4,4,4,マルヨレギュラー,牡4,54,筒井勇介,2:05.9,3,15.8,4,497(+14),[地] 柴田高志
4,5,6,6,ポップイン,牝4,53,丸野勝虎,2:06.3,2,113.2,8,451(0),[地] 山中輝久
5,6,7,7,トウショウジオン,牡7,54,吉井友彦,2:06.3,クビ,75.0,6,519(+7),[地] 山中輝久
6,7,8,8,バイオレントナイト,牡7,54,花本正三,2:07.4,5,100.0,7,472(+2),[地] 伊藤強一
7,8,1,1,エイシンダッシュ,牡7,55,佐藤友則,2:08.9,7,29.9,5,476(-2),[地] 伊藤強一
