,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,2,レッドエクシード,牡3,56,浜中俊,1:48.7,,3.5,1,474(-4),[西] 松永幹夫
1,2,7,14,メラナイト,牡3,56,鮫島克駿,1:49.4,4,5.0,3,474(-4),[西] 佐々木晶
2,3,5,10,フォロミーバゴ,牝3,54,和田竜二,1:49.5,1/2,15.8,6,466(+4),[西] 河内洋
3,4,6,12,ウィズワンアコード,牡3,54,森裕太朗,1:49.6,3/4,16.8,8,458(-4),[西] 藤沢則雄
4,5,3,5,クリノアリエル,牝3,54,松山弘平,1:49.6,ハナ,12.3,5,424(0),[西] 須貝尚介
5,6,1,1,トーアセレーネ,牝3,51,服部寿希,1:49.6,クビ,270.4,15,434(-4),[西] 羽月友彦
6,7,3,6,ソルフェージュ,牡3,56,アヴドゥ,1:49.7,1/2,8.2,4,430(0),[西] 小崎憲
7,8,7,13,エアハンコック,牝3,54,武豊,1:49.7,クビ,3.7,2,466(0),[西] 笹田和秀
8,9,6,11,ロードレガリス,牡3,56,幸英明,1:49.9,1.1/4,26.8,10,496(-4),[西] 野中賢二
9,10,2,3,ヤマカツケンザン,牡3,56,岡田祥嗣,1:50.0,3/4,21.4,9,526(-2),[西] 池添学
10,11,4,8,ララシャンパーニュ,牡3,55,荻野極,1:50.5,3,16.0,7,424(0),[西] 今野貞一
11,12,5,9,フリージアスター,牝3,54,酒井学,1:50.8,1.3/4,360.1,16,420(+10),[西] 加用正
12,13,8,16,ウォーターエルピス,牡3,53,西村淳也,1:51.5,4,206.2,13,522(0),[西] 岡田稲男
13,14,2,4,ナンヨーオートヌ,牡3,56,北村友一,1:51.8,1.1/2,59.8,11,476(-4),[西] 松田国英
14,15,4,7,エターナルソウル,牡3,56,太宰啓介,1:52.2,2.1/2,199.6,12,446(-4),[西] 藤岡健一
15,16,8,15,ドゥエベリーニ,牝3,54,秋山真一,1:52.8,3.1/2,210.3,14,490(-4),[西] 橋口慎介
