,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,フレンドサンポウ,牝2,54,小林淳一,1:35.8,,16.5,4,454(0),[東] 清水美波
1,2,7,12,スノードラゴン,牡2,54,北村宏司,1:36.0,1.1/4,3.9,2,484(-12),[東] 高木登
2,3,6,10,テイエムオオタカ,牡2,54,大庭和弥,1:36.1,クビ,22.2,5,458(-2),[東] 石栗龍彦
3,4,3,5,ナンヨーオウトー,牡2,54,木幡初広,1:36.2,3/4,195.5,12,496(0),[東] 柴田政人
4,5,7,13,コンプリート,牝2,54,吉田豊,1:36.2,アタマ,1.8,1,474(+2),[東] 谷原義明
5,6,8,14,カネコメスキー,牡2,54,三浦皇成,1:36.5,1.3/4,89.1,10,452(-4),[東] 小桧山悟
6,7,2,3,シャンドゥリエ,牡2,54,田中勝春,1:36.5,ハナ,23.8,6,436(-4),[東] 尾形充弘
7,8,8,15,シャイニングカラー,牡2,54,松岡正海,1:36.5,クビ,5.3,3,446(+2),[東] 斎藤誠
8,9,4,7,シャーデンフロイデ,牡2,51,小野寺祐,1:36.7,1.1/4,387.6,13,418(0),[東] 小桧山悟
9,10,6,11,コスモハーヴェスト,牝2,52,伊藤工真,1:36.9,1.1/4,39.4,8,428(0),[東] 清水美波
10,11,3,4,エンドレスノヴェル,牝2,54,戸崎圭太,1:36.9,ハナ,81.7,9,490(0),[東] 古賀史生
11,12,1,1,ヘイセイレジェンド,牡2,54,武士沢友,1:37.4,3,175.8,11,474(+4),[東] 中島敏文
12,13,5,9,ガナッシュ,牝2,54,中舘英二,1:37.7,1.3/4,35.5,7,452(+2),[東] 田村康仁
13,14,5,8,レモンマートル,牝2,54,柴田大知,1:38.3,3.1/2,407.4,15,478(-14),[東] 畠山重則
14,中,4,6,カシノモンブラン,牝2,54,二本柳壮,,,389.9,14,410(-2),[東] 二本柳俊
