,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,1,1,リワードアルコン,牡7,55,西山裕貴,1:23.3,,16.2,6,546(-9),[地] 雑賀正光
1,2,7,8,ニホンピロソフィー,牝5,50,岡村卓弥,1:23.5,1,30.7,7,483(+5),[地] 雑賀正光
2,3,4,4,ギャラクシーキッド,牡7,55,高橋利幸,1:23.5,ハナ,13.1,4,454(-2),[地] 雑賀正光
3,4,8,9,ファンドリプライド,牡4,56,宮川実,1:23.7,1,9.7,2,470(+10),[地] 雑賀正光
4,5,7,7,ケイエスショーキ,牡6,56,赤岡修次,1:23.8,クビ,1.3,1,503(-8),[地] 雑賀正光
5,6,6,6,ジトゥルー,牝8,53,西川敏弘,1:24.1,1.1/2,12.4,3,441(+16),[地] 大関吉明
6,7,3,3,ケイエススウィフト,牡4,55,永森大智,1:24.2,3/4,13.1,4,492(-2),[地] 雑賀正光
7,8,5,5,ハワイアンシェーナ,牝4,53,上田将司,1:24.2,アタマ,31.8,8,418(-1),[地] 雑賀正光
8,9,8,10,ユーリカランチ,牡5,55,宮川浩一,1:25.0,4,34.2,10,482(0),[地] 雑賀正光
9,10,2,2,ケイエスシンヨシキ,牡4,54,森井美香,1:26.4,7,32.9,9,465(0),[地] 雑賀正光
