,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,14,ロードレガリス,牡4,56,森泰斗,1:42.3,,1.8,1.0,518(+2),[地] 村上頼章
1,2,6,9,マイネルトワイス,牡4,56,達城龍次,1:43.5,6,14.0,3.0,481(-3),[地] 森下淳平
2,3,2,2,ビバラエポボン,牝4,54,岡部誠,1:44.1,3,22.4,5.0,451(-2),[地] 荒井朋弘
3,4,3,4,ヤマイチサンライズ,牡6,56,岡村健司,1:44.1,クビ,47.3,9.0,502(+5),[地] 秋吉和美
4,5,7,11,ヴォーチェ,牝6,54,御神本訓,1:44.2,クビ,15.5,4.0,477(-3),[地] 高橋清顕
5,6,5,8,マイハーベスト,牝6,54,的場文男,1:45.0,4,25.8,6.0,471(+5),[地] 的場直之
6,7,3,3,セルゲイ,牡4,56,藤本現暉,1:45.4,2,2.6,2.0,485(-8),[地] 蛯名雄太
7,8,8,13,ライモンド,牡4,56,和田譲治,1:45.4,アタマ,35.2,7.0,490(0),[地] 森下淳平
8,9,5,7,グランサージュ,牡4,53,仲原大生,1:45.5,クビ,185.8,12.0,467(-5),[地] 藤村和生
9,10,4,5,コパノミラーレ,牡6,56,笹川翼,1:45.5,クビ,44.8,8.0,472(+4),[地] 松浦裕之
10,11,6,10,セユウブラボー,牡4,56,楢崎功祐,1:45.6,1/2,55.8,10.0,436(-6),[地] 香取和孝
11,12,1,1,ダレモカレモ,牡4,56,赤岡修次,1:45.8,3/4,76.6,11.0,470(-2),[地] 福永敏
12,13,7,12,イチジツセンリ,牡7,56,安藤洋一,1:46.5,3.1/2,223.0,13.0,469(+2),[地] 赤嶺本浩
13,取,4,6,レオパルト,牡7,53,大木天翔,,,---,,計不,[地] 三坂盛雄
