,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,8,ダイワプリベール,牡6,55,別府真衣,1:47.0,,35.0,6,484(+4),[地] 田中譲二
1,2,2,2,ブレーヴキャンター,牡6,56,赤岡修次,1:47.2,1,2.1,1,562(-6),[地] 雑賀正光
2,3,3,3,バルチクリッジ,セ4,56,倉兼育康,1:47.5,1.1/2,3.2,3,453(+11),[地] 松木啓助
3,4,4,4,ロマンタッチ,牡10,56,宮川実,1:47.6,1/2,18.4,5,458(0),[地] 打越勇児
4,5,7,7,ポッピイ,牡6,56,西川敏弘,1:47.8,1,2.7,2,492(+12),[地] 松木啓助
5,6,6,6,マチカネカミカゼ,牡7,56,目迫大輔,1:48.5,3,216.6,9,483(-1),[地] 宗石大
6,7,8,9,フジノタカワシ,牡6,56,西森将司,1:48.9,2,63.7,7,461(-15),[地] 別府真司
7,8,1,1,ビックインパクト,牡5,56,永森大智,1:49.6,3,63.7,7,490(-6),[地] 雑賀正光
8,9,5,5,バンブーマンユー,牡4,56,上田将司,1:52.0,大,17.5,4,488(+8),[地] 川野勇馬
