,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,2,2,サトノダヴィンチ,牡5,56,今野忠成,1:36.5,,3.4,2.0,487(-1),[地] 川島正一
1,2,6,7,ベイビータピット,牡5,56,森泰斗,1:36.6,1/2,1.6,1.0,487(-4),[地] 岡林光浩
2,3,6,8,ケイエスソード,牡4,56,和田譲治,1:37.4,4,9.2,3.0,483(0),[地] 鈴木義久
3,4,7,10,キングスベンチ,牡4,56,庄司大輔,1:37.4,クビ,10.7,4.0,514(-4),[地] 坂本昇
4,5,4,4,マイネルルークス,牡7,56,坂井英光,1:38.3,4,20.8,6.0,496(0),[地] 久保田信
5,6,5,6,レイクマッケンジー,牡6,56,沢田龍哉,1:38.5,1,68.1,7.0,485(-3),[地] 山下貴之
6,7,7,9,トゥモローウィング,牡6,56,増田充宏,1:38.6,1/2,92.4,8.0,486(+6),[地] 平山真希
7,8,8,12,ドリームキング,牡4,56,町田直希,1:39.2,3,16.7,5.0,511(-9),[地] 佐々木仁
8,9,8,11,アールルイス,牡9,56,橋本直哉,1:39.4,3/4,292.2,10.0,471(-5),[地] 宇野木数
9,10,5,5,ゴールドスガ,牡9,56,杉村一樹,1:39.8,2,402.4,11.0,468(+3),[地] 秋山重美
10,11,3,3,ジャクソンライヒ,牡9,56,笹川翼,1:40.3,2.1/2,201.2,9.0,497(+5),[地] 久保勇
11,除,1,1,シゲルオオカミザ,牡7,56,本橋孝太,,,---,,473(0),[地] 鈴木義久
