,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,3,6,マイプラーナ,牝5,55,北村友一,1:23.7,,4.2,2,480(-2),[西] 福島信晴
1,2,6,12,アイディンパワー,牡5,57,太宰啓介,1:23.9,1,10.2,4,492(+2),[西] 本田優
2,3,6,11,グランドシチー,牡4,57,川田将雅,1:23.9,クビ,5.8,3,484(+4),[東] 相沢郁
3,4,5,10,ダノンプリマドンナ,牝4,55,幸英明,1:24.0,1/2,15.7,7,450(+4),[西] 大久保龍
4,5,1,1,スピルオーバー,牡4,57,秋山真一,1:24.0,クビ,3.2,1,530(-2),[西] 大橋勇樹
5,6,4,8,アグネスラナップ,牡6,57,藤岡佑介,1:24.2,1.1/4,123.3,13,506(-2),[西] 西浦勝一
6,7,2,4,マジックモーメント,牡6,57,浜中俊,1:24.2,ハナ,31.1,10,464(-10),[東] 的場均
7,8,3,5,アートオブビーン,牝4,54,国分恭介,1:24.5,2,21.9,9,458(-8),[西] 小原伊佐
8,9,5,9,ピサライコネン,牡4,54,国分優作,1:24.6,クビ,10.9,5,472(+4),[西] 藤原英昭
9,10,8,15,グリッターエルフ,牝7,55,和田竜二,1:24.8,1.1/2,20.2,8,482(-6),[西] 柴田光陽
10,11,2,3,キングコーリンオー,セ5,57,川島信二,1:24.9,1/2,318.9,16,454(+4),[西] 柴田政見
11,12,8,16,シゲルタダカツ,牡4,57,ピンナ,1:25.3,2.1/2,31.4,11,522(+4),[西] 川村禎彦
12,13,7,13,チャームドリーム,牝5,55,酒井学,1:25.4,クビ,53.6,12,502(+10),[西] 中竹和也
13,14,7,14,メイショウシェイク,牡5,57,飯田祐史,1:25.4,アタマ,12.8,6,522(-10),[西] 飯田明弘
14,15,4,7,アグネスイカロス,牡6,57,渡辺薫彦,1:26.0,3.1/2,185.1,15,470(-14),[西] 河内洋
15,16,1,2,プリンセスネージュ,牝4,52,花田大昂,1:27.0,6,134.2,14,472(-2),[西] 鈴木孝志
