,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,8,12,センプレフォール,牡4,55,柏木健宏,1:42.7,,5.5,3,444(+3),[地] 米田英世
1,2,4,5,ガーデンズキュー,牝6,55,笹川翼,1:43.0,1.3/4,4.5,1,499(-2),[地] 荒山勝徳
2,3,8,13,ヒコーキグモ,牡5,57,達城龍次,1:43.2,1.1/4,6.2,4,486(+6),[地] 三坂盛雄
3,4,7,11,シゲルジダイマツリ,牡6,55,中野省吾,1:43.6,2,4.8,2,505(+2),[地] 堀江仁
4,5,7,10,モンサンデューン,牡8,55,的場文男,1:44.5,4,14.7,8,480(+6),[地] 宗形竹見
5,6,6,9,キタサンシンゲキ,牡7,57,中島龍也,1:44.7,1,12.2,6,494(+1),[地] 辻野豊
6,7,2,2,モリデンサンバ,牝5,53,横川怜央,1:45.1,2,108.0,12,497(0),[地] 鈴木啓之
7,8,1,1,ラッキーポイント,牡5,55,吉原寛人,1:46.0,4,22.4,9,493(-7),[地] 宗形竹見
8,9,6,8,イケノアサ,牝4,53,本橋孝太,1:46.3,1.1/2,68.1,11,442(0),[地] 沢佳宏
9,10,3,3,マヒナズヒル,牝8,53,瀬川将輝,1:46.5,1.1/4,113.4,13,453(-3),[地] 月岡健二
10,11,5,6,エリュシオン,牡5,57,高松亮,1:46.7,3/4,12.9,7,470(+5),[地] 月岡健二
11,12,4,4,トーセンスパンキー,牡6,57,楢崎功祐,1:47.7,5,38.0,10,512(+1),[地] 秋吉和美
12,13,5,7,モンサンルリアン,牡4,55,瀧川寿希,1:51.2,大,6.4,5,501(+6),[地] 宗形竹見
