,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,7,ルックスザットキル,牡4,58,早田功駿,1:12.2,,4.6,2,511(-1),[地] 米田英世
1,2,8,16,プラチナグロース,セ6,55,真島大輔,1:12.4,1.1/4,5.3,3,489(+3),[地] 佐々木仁
2,3,8,15,マリカ,牝5,53,坂井英光,1:12.5,1/2,24.3,7,475(-6),[地] 橋本和馬
3,4,6,12,アメージングタクト,牡6,57,中野省吾,1:12.6,1/2,7.0,4,459(-3),[地] 藤田輝信
4,5,2,3,イセノラヴィソン,牝6,54,本田正重,1:12.6,クビ,92.8,11,482(-4),[地] 佐藤厚弘
5,6,6,11,ゴーディー,牡8,58,赤嶺亮,1:12.9,1.1/2,77.0,10,496(0),[地] 赤嶺本浩
6,7,1,1,サトノタイガー,牡8,58,吉原寛人,1:13.0,1/2,7.2,5,470(+2),[地] 小久保智
7,8,3,5,インサイドザパーク,牡6,58,山口達弥,1:14.0,5,174.6,14,455(-6),[地] 林正人
8,9,7,14,スマイルピース,牡5,56,楢崎功祐,1:14.0,ハナ,113.8,13,536(-6),[地] 佐野謙二
9,10,3,6,アルゴリズム,牡8,57,笹川翼,1:14.0,クビ,36.0,8,494(+1),[地] 堀千亜樹
10,11,2,4,ラクテ,牡3,53,上田健人,1:14.4,2,8.7,6,486(+2),[地] 寺田新太
11,12,1,2,コウギョウダグラス,牡9,57,柏木健宏,1:14.4,ハナ,100.5,12,515(-5),[地] 松浦裕之
12,13,4,8,ミヤジエルビス,牡6,57,赤岡修次,1:16.0,8,40.7,9,511(-5),[地] 三坂盛雄
13,14,7,13,クレバーサンデー,牡9,55,小林拓未,1:17.3,6,281.9,16,504(+5),[地] 香取和孝
14,15,5,10,エアラフォン,牡9,57,山崎良,1:18.0,3.1/2,233.1,15,496(+6),[地] 香取和孝
15,16,5,9,アドマイヤサガス,牡8,59,森泰斗,1:27.6,大,3.2,1,526(0),[地] 川島正一
