,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師
0,1,4,8,メモリーガリソン,牡3,55,古川吉洋,1:52.3,,185.6,16,474(-4),[西] 山本正司
1,2,1,2,スズカフォイル,牝4,55,武豊,1:52.4,1/2,14.0,3,452(+4),[西] 橋田満
2,3,8,16,センターベステ,牡5,57,藤岡佑介,1:52.4,ハナ,15.1,5,498(+8),[西] 池江泰寿
3,4,4,7,サカイヤベンケイ,牡4,57,赤木高太,1:52.6,3/4,82.4,13,444(-4),[西] 武宏平
4,5,5,10,ペプチドジャスパー,牡3,55,小牧太,1:53.0,2.1/2,4.3,2,458(-2),[西] 境直行
5,6,2,4,アンクルピース,牡4,57,福永祐一,1:53.2,1.1/4,1.7,1,490(+4),[西] 田島良保
6,7,2,3,ゼンノジュウシン,牡3,55,和田竜二,1:53.8,3.1/2,27.8,8,480(-2),[西] 大久保龍
7,8,6,11,ナリタブラック,牡4,54,船曳文士,1:54.0,1.1/4,92.9,14,500(+2),[西] 崎山博樹
8,9,5,9,ケイエスゴーウェイ,牡3,55,幸英明,1:54.1,1/2,158.9,15,524(-2),[西] 高橋成忠
9,10,3,6,フルブラッサム,牡4,57,四位洋文,1:54.2,3/4,14.1,4,478(+4),[西] 沖芳夫
10,11,7,14,セレスクラブ,牡4,56,鮫島良太,1:54.4,1.1/2,25.6,7,480(+12),[西] 鮫島一歩
11,12,1,1,ヒカリダイキャスト,牡3,55,角田晃一,1:54.5,1/2,57.1,11,484(+4),[西] 松永昌博
12,13,6,12,マルカケセラセラ,牡4,54,上野翔,1:54.7,1.1/2,52.8,10,492(+6),[西] 瀬戸口勉
13,14,8,15,マルタカタイロー,牡4,57,小池隆生,1:55.1,2.1/2,36.0,9,528(-6),[西] 河内洋
14,15,7,13,トーアセンヒメ,牝4,55,武幸四郎,1:55.2,1/2,76.1,12,436(-4),[西] 大根田裕
15,16,3,5,サンライズボクサー,牡4,57,熊沢重文,1:55.3,3/4,21.1,6,464(+2),[西] 平田修
