,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2023/07/09,3中京4,曇,11,プロキオンS(G3),,15,2,3,,,除,坂井瑠星,58,ダ1400,稍,**,,,**,,33.9-37.5,,510(+10),,,ドンフランキー,
1,2023/05/31,浦和,晴,11,さきたま杯(G2),,10,1,1,2.1,1.0,中,川田将雅,56,ダ1400,重,**,,,**,10-10-10-10,35.2-37.5,,500(-9),,,イグナイター,
2,2023/05/04,船橋,晴,11,かしわ記念(G1),,13,3,4,2.8,1.0,4,川田将雅,57,ダ1600,良,**,1:39.7,0.4,**,4-4-4-4,36.7-37.5,37.8,509(+3),,,メイショウハリオ,800.0
3,2023/03/14,高知,晴,4,黒船賞[指定交流](G3),,12,4,4,2.6,1.0,1,川田将雅,57,ダ1400,不,**,1:28.3,-0.6,**,5-5-4-2,0.0-38.3,38.0,506(-17),,,(ヘリオス),3000.0
4,2022/12/21,園田,曇,11,兵庫ゴールドトロフィ(G3),,12,7,9,1.6,1.0,2,川田将雅,58,ダ1400,良,**,1:27.5,0.2,**,3-4-4-4,0.0-38.1,38.0,523(+7),,,ラプタス,1200.0
5,2022/12/04,6中京2,晴,11,チャンピオンズC(G1),,16,7,13,23.2,7.0,5,川田将雅,57,ダ1800,良,**,1:52.5,0.6,**,3-3-3-2,37.0-36.9,37.2,516(-1),,,ジュンライトボルト,1200.0
6,2022/10/10,盛岡,曇,12,マイルチャンピオンシ(G1),,16,8,15,5.1,3.0,3,川須栄彦,57,ダ1600,不,**,1:34.7,0.1,**,6-5,0.0-36.9,36.7,517(+8),,,カフェファラオ,1200.0
7,2022/09/21,浦和,晴,11,テレ玉杯オーバルスプ(G3),,11,8,11,1.9,1.0,1,川須栄彦,55,ダ1400,重,**,1:25.8,-0.2,**,3-3-2-2,36.7-36.6,35.9,509(-1),,,(リメイク),2500.0
8,2022/08/25,佐賀,晴,10,サマーチャンピオン(G3),,12,8,12,2.1,1.0,1,川須栄彦,57,ダ1400,不,**,1:25.5,-0.4,**,3-3-3-1,0.0-37.0,36.6,510(-5),,,(コウエイアンカ),3000.0
9,2022/06/01,浦和,曇,11,さきたま杯(G2),,11,6,6,3.2,2.0,3,川須栄彦,56,ダ1400,良,**,1:25.3,0.0,**,2-2-2-2,35.9-37.0,36.8,515(-5),,,サルサディオーネ,700.0
10,2022/04/20,大井,曇,11,東京スプリント競走(G3),,13,4,5,6.0,4.0,1,川須栄彦,56,ダ1200,不,**,1:10.5,0.0,**,3-3,34.8-35.7,35.6,520(+2),,,(リュウノユキナ),2700.0
11,2022/04/03,2阪神4,曇,12,なにわS(3勝クラス),,16,6,12,1.9,1.0,1,川須栄彦,57,ダ1200,良,**,1:11.1,-0.9,**,3-2,35.5-35.6,35.1,518(+4),,,(ジゲン),1875.0
12,2022/03/05,1阪神7,晴,10,橿原S(3勝クラス),,16,6,12,3.0,1.0,2,川須栄彦,57,ダ1200,良,**,1:11.4,0.2,**,3-2,34.6-36.6,36.5,514(+4),,,ボイラーハウス,749.8
13,2022/01/29,1中京9,晴,11,伊賀S(3勝クラス),,16,2,3,4.2,1.0,6,川須栄彦,56,ダ1200,良,**,1:12.4,0.8,**,6-9,34.3-37.3,37.4,510(+4),,,メイショウミライ,
14,2021/08/28,4新潟5,曇,9,岩室温泉特別(2勝クラス),,15,3,4,5.0,3.0,1,川須栄彦,54,ダ1200,良,**,1:09.8,-0.3,**,2-2,33.4-36.4,36.3,506(-8),,,(ララクリュサオル),1535.7
15,2021/08/08,3新潟6,曇,7,3歳以上1勝クラス,,15,2,3,2.6,1.0,1,川須栄彦,54,ダ1200,良,**,1:11.4,-0.8,**,2-2,34.4-37.0,37.0,514(-10),,,(ゴイゴイスー),760.0
16,2021/07/25,3新潟2,晴,2,3歳未勝利,,15,6,10,22.7,6.0,1,川須栄彦,56,ダ1200,良,**,1:11.0,-0.3,**,2-2,34.0-37.0,36.9,524(+4),,,(ロードレイライン),510.0
17,2021/03/13,1阪神9,曇,2,3歳未勝利,,16,8,16,15.7,5.0,12,川須栄彦,56,ダ1200,不,**,1:14.5,2.9,**,12-13,34.1-37.5,38.0,520(0),,,イルデレーヴ,
