,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2023/10/04,大井,雨,11,東京盃競走(G2),,13,2,2,49.4,8,8,御神本訓,57,ダ1200,不,**,1:11.6,1.6,**,9-9,34.2-35.8,36.7,499(+7),,,ドンフランキー,
1,2023/05/31,浦和,晴,11,さきたま杯(G2),,10,6,6,15.3,4,7,森泰斗,57,ダ1400,重,**,1:27.3,2.0,**,6-7-9-9,35.2-37.5,38.9,492(-4),,,イグナイター,
2,2023/04/19,大井,晴,11,東京スプリント競走(G3),,11,5,5,14.8,6,4,森泰斗,57,ダ1200,稍,**,1:10.8,0.5,**,11-11,33.8-36.5,35.1,496(+2),,,リュウノユキナ,270.0
3,2023/01/29,1東京2,晴,11,根岸S(G3),,16,8,15,87.3,11,5,横山武史,57,ダ1400,良,**,1:23.4,0.9,**,3-3,34.6-35.9,36.6,494(+2),,,レモンポップ,400.0
4,2022/12/11,5中山4,曇,11,カペラS(G3),,16,4,7,9.5,6,13,川須栄彦,57,ダ1200,良,**,1:10.5,1.6,**,16-16,32.2-36.7,36.0,492(+4),,,リメイク,
5,2022/11/13,5阪神4,曇,10,室町S(OP),,16,4,8,20.5,9,1,川須栄彦,58,ダ1200,重,**,1:09.1,-0.4,**,3-3,33.3-35.8,35.5,488(-4),,,(オメガレインボー),2240.6
6,2022/07/10,3小倉4,晴,11,プロキオンS(G3),,16,1,1,10.9,6,13,松山弘平,57,ダ1700,稍,**,1:45.7,2.0,**,1-2-1-1,29.3-38.0,40.0,492(+4),,,ゲンパチルシファー,
7,2022/01/30,1東京2,曇,11,根岸S(G3),,16,8,16,9.4,5,10,ルメール,57,ダ1400,良,**,1:23.8,0.7,**,7-7,34.4-36.9,36.4,488(-2),,,テイエムサウスダン,
8,2021/12/26,6阪神8,曇,11,りんくうS(OP),,16,2,4,5.4,4,3,鮫島克駿,58,ダ1200,良,**,1:11.1,0.4,**,6-6,33.9-36.8,36.3,490(-2),,,オーロラテソーロ,555.9
9,2021/10/31,4阪神8,曇,10,オータムリーフS(OP),,16,2,4,3.8,1,9,岩田望来,58,ダ1400,良,**,1:23.7,1.0,**,1-1,34.3-36.6,37.6,492(+4),,,デンコウリジエール,
10,2021/06/13,3東京4,曇,11,エプソムC(G3),,18,3,5,54.0,14,16,三浦皇成,58,芝1800,良,**,1:46.9,1.8,**,1-1-1,35.3-34.9,36.7,488(+6),,,ザダル,
11,2021/05/15,2東京7,晴,11,京王杯スプリングC(G2),,17,1,1,8.6,4,10,松山弘平,56,芝1400,良,**,1:20.4,0.6,**,5-7,34.3-34.3,33.6,482(-16),,,ラウダシオン,
12,2021/02/21,1東京8,晴,11,フェブラリーS(G1),,16,1,1,37.1,10,5,松山弘平,57,ダ1600,良,**,1:35.1,0.7,**,2-2,34.7-35.9,36.6,498(+4),,,カフェファラオ,1000.0
13,2020/12/06,3中京2,晴,11,チャンピオンズC(G1),,16,2,4,38.9,8,10,松山弘平,57,ダ1800,良,**,1:50.4,1.1,**,1-1-2-1,36.5-37.0,38.1,494(-4),,,チュウワウィザード,
