,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2015/02/25,大井,晴,11,フジノウェーブ記念競(G),,15,5,9,305.5,15,14,坂井英光,58.0,ダ1400,重,**,1:30.1,5.5,**,14-15-15,35.2-37.7,41.6,498(-6),,,セイントメモリー,
1,2015/01/14,船橋,曇,11,船橋記念(G),,14,3,3,52.7,10,9,石崎駿,57.0,ダ1000,良,**,1:00.3,1.3,**,11-14,34.1-36.1,36.2,504(+15),,,ナイキマドリード,
2,2014/11/03,盛岡,曇,9,JBCスプリント(G1),,16,6,11,981.9,15,7,斉藤雄一,57.0,ダ1200,重,,1:10.0,1.0,,13-11,,34.8,489(-1),,,ドリームバレンチノ,
3,2014/10/01,大井,曇,11,東京盃競走(G2),,11,7,8,327.0,9,9,有年淳,56.0,ダ1200,良,**,1:12.3,2.1,**,11-10,33.8-36.4,36.6,490(0),,,ノーザンリバー,
4,2014/08/27,大井,雨,11,アフター5スター賞競(G),,12,3,3,80.3,10,4,有年淳,58.0,ダ1200,良,**,1:11.5,0.7,**,8-7,34.1-36.7,36.8,490(-2),,,サトノタイガー,130.0
5,2014/08/13,盛岡,曇,9,クラスターC(G3),,14,5,8,625.4,13,7,高野毅,54.0,ダ1200,稍,,1:10.9,1.2,,11-13,,34.9,492(-3),,,サマリーズ,
6,2014/05/15,大井,曇,11,ゆりかもめオープン競(OP),,16,7,13,57.2,11,10,有年淳,57.0,ダ1200,稍,**,1:13.1,1.9,**,12-13,34.7-36.5,36.5,495(-2),,,アルゴリズム,
7,2014/02/26,大井,晴,11,フジノウェーブ記念競(G),,15,8,15,171.7,14,12,有年淳,58.0,ダ1400,良,**,1:27.7,2.6,**,5-3-6,36.4-36.7,38.9,497(+10),,,ジェネラルグラント,
8,2014/01/23,大井,晴,11,’14ウインタースプ(OP),,12,4,4,43.7,9,3,有年淳,57.0,ダ1200,良,**,1:13.1,0.4,**,7-7,34.8-37.9,37.8,487(-1),,,コウギョウダグラス,144.0
9,2014/01/08,船橋,小雨,11,船橋記念(G),,13,4,5,81.0,10,7,石崎駿,57.0,ダ1000,良,**,1:00.4,0.9,**,9-11,33.9-36.7,36.7,488(+8),,,ナイキマドリード,
10,2013/11/26,大井,晴,10,インタラクションカッ,,14,8,14,29.5,7,5,有年淳,57.0,ダ1200,不,**,1:13.0,0.7,**,9-10,33.8-38.5,37.4,480(+8),,,ワッツヴィレッジ,80.0
11,2013/11/19,笠松,晴,9,笠松グランプリ(G),,10,2,2,39.2,7,6,丸野勝虎,57.0,ダ1400,良,,1:25.8,1.3,,4-5-5,,38.0,472(-26),,,エスワンプリンス,
12,2013/11/06,大井,晴,11,マイルグランプリ競走(G),,16,2,4,27.5,8,14,戸崎圭太,57.0,ダ1600,重,**,1:42.5,2.9,,5-5-6-8,36.3-39.0,41.1,498(+11),,,トーセンアドミラル,
13,2013/10/01,大井,曇,10,’13ムーンライトカ(OP),,12,3,3,14.3,5,4,和田譲治,57.0,ダ1600,良,**,1:41.9,0.5,**,6-6-5-3,37.2-40.2,40.5,487(-16),,,クリーン,86.4
14,2013/04/10,大井,曇,11,東京スプリント競走(G3),,16,2,4,86.8,11,9,坂井英光,56.0,ダ1200,良,**,1:12.8,1.1,**,9-8,34.7-37.0,37.7,503(-1),,,ラブミーチャン,
15,2013/03/06,大井,晴,11,東京スプリング盃競走(G),,16,6,11,27.5,8,4,石崎駿,59.0,ダ1400,良,**,1:27.2,0.4,**,6-5-4,36.1-38.4,38.6,504(-8),,,フジノウェーブ,130.0
16,2012/11/22,笠松,曇,9,笠松グランプリ(G),,10,7,8,21.3,5,3,石崎駿,57.0,ダ1400,良,,1:25.3,0.7,,3-3-4,,37.2,512(+7),,,エーシンクールディ,110.0
17,2012/10/03,大井,雨,11,東京盃競走(G2),,16,2,3,99.3,12,8,有年淳,56.0,ダ1200,稍,**,1:12.8,1.6,**,11-12,34.2-37.0,37.8,505(-1),,,ラブミーチャン,
18,2012/08/29,大井,晴,11,アフター5スター賞競(G),,16,8,16,59.5,10,5,有年淳,58.0,ダ1200,良,**,1:12.4,0.7,**,8-7,34.7-37.0,37.0,506(-1),,,ジーエスライカー,65.0
19,2012/08/01,大井,晴,11,サンタアニタトロフィ(G),,16,1,2,150.4,16,11,水野貴史,56.5,ダ1600,良,**,1:41.3,1.6,**,11-11-15-16,36.1-39.0,39.6,507(+1),,,ゴーディー,
20,2012/06/28,大井,曇,10,武蔵野オープン競走(OP),,16,5,10,19.5,8,11,横川怜央,56.5,ダ1600,良,**,1:41.2,2.4,**,7-8-11-11,37.4-37.3,39.3,506(+10),,,ファイナルスコアー,
21,2011/06/16,門別,晴,10,北海道スプリントカッ(G3),,13,8,13,3.7,2,2,石崎駿,56.0,ダ1200,良,,1:11.6,0.1,,2-1,,36.8,496(-5),,,マルカフリート,440.0
22,2011/04/20,大井,晴,11,東京スプリント競走(G3),,16,2,4,3.4,2,5,石崎駿,56.0,ダ1200,重,**,1:11.3,0.5,**,8-8,34.1-36.7,36.5,501(+5),,,セレスハント,135.0
23,2011/03/09,大井,晴,11,東京スプリング盃競走(G),,14,1,1,2.7,2,3,石崎駿,59.0,ダ1400,重,**,1:24.7,0.4,**,7-9-6,35.2-37.3,36.5,496(+12),,,フジノウェーブ,300.0
24,2010/12/12,5中山4,晴,11,カペラS(G3),,16,8,16,11.3,6,8,石崎駿,56.0,ダ1200,良,**,1:10.3,0.6,**,10-7,33.0-36.7,36.4,484(-10),,,セイクリムズン,
25,2010/10/06,大井,晴,10,東京盃競走(G2),,14,6,10,19.3,4,2,石崎駿,56.0,ダ1200,稍,**,1:10.6,0.0,**,7-5,33.5-37.1,36.3,494(+3),,,サマーウインド,1225.0
26,2010/09/01,大井,晴,10,アフター5スター賞競(G),,16,8,16,4.4,3,1,石崎駿,55.0,ダ1200,良,**,1:11.5,-0.5,**,9-9,34.4-37.1,36.3,491(+4),,,(ナイキマドリード),1500.0
27,2010/07/29,大井,雨,10,’10シーサイドカッ,,16,4,8,11.7,4,2,石崎駿,54.0,ダ1200,不,**,1:12.0,0.2,**,11-9,34.5-37.3,36.3,487(+7),,,ブリーズフレイバー,180.0
28,2010/06/03,大井,晴,11,’10メトロポリタン,,16,1,2,3.7,1,2,石崎駿,56.0,ダ1200,良,**,1:12.4,0.1,**,7-5,34.8-37.5,36.6,480(-8),,,チヨノドラゴン,270.0
29,2010/04/08,大井,晴,11,ゆりかもめオープン競(OP),,10,1,1,5.1,3,2,石崎駿,54.0,ダ1400,稍,**,1:25.5,0.0,**,4-4-4,36.3-37.3,36.8,488(+2),,,チヨノドラゴン,189.0
30,2010/03/17,大井,晴,12,シリウス賞競走,,16,7,13,3.1,1,1,石崎駿,56.0,ダ1200,重,**,1:13.0,-0.3,**,8-6,35.1-37.9,37.1,486(-4),,,(ボク),320.0
