,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
31,1999/11/23,笠松,曇,9,全日本サラブレッドカ(G3),,10,8,9,,5.0,2,丸野勝虎,56.0,ダ1400,良,,1:26.9,0.3,,5-4-2,,,500(+2),,,マジックリボン,1050.0
32,1999/11/03,名古屋,晴,9,東海菊花賞指定交流(G2),,12,6,7,,4.0,5,安藤勝己,56.0,ダ2500,稍,,2:42.1,1.1,,,,,498(-2),,,マチカネワラウカド,360.0
33,1999/10/11,金沢,晴,9,白山大賞典(G3),,12,3,3,,5.0,4,丸野勝虎,56.0,ダ2100,良,,2:14.5,1.6,,3-2-6-3,,,500(+2),,,マチカネワラウカド,385.0
34,1999/09/08,名古屋,晴,11,サファイアOP,,10,8,11,,1.0,1,丸野勝虎,52.0,ダ1600,重,,1:39.8,0.0,,,,,498(+4),,,(ロングリリーフ),240.0
35,1999/07/20,名古屋,曇,10,名港盃(G),,12,3,3,,1.0,2,丸野勝虎,57.0,ダ1600,不,,1:40.3,0.0,,,,,494(+14),,,メモリーベイツ,122.5
36,1999/06/24,大井,曇,9,帝王賞(G1),,15,8,15,,10.0,12,吉田稔,57.0,ダ2000,稍,,2:07.5,3.5,,9-10-5-8,35.3-37.9,40.8,480(-12),,,メイセイオペラ,
37,1999/04/29,笠松,晴,9,オグリキャップ記念(G2),,10,5,5,,2.0,3,丸野勝虎,56.0,ダ2500,良,,2:45.4,0.2,,4,,,492(-2),,,ナリタホマレ,680.0
38,1999/04/14,名古屋,晴,10,東海桜花賞(G),,12,7,9,,1.0,3,丸野勝虎,57.0,ダ1400,良,,1:27.8,0.2,,,,,494(0),,,エフワンライデン,200.0
39,1999/03/24,名古屋,曇,10,名古屋大賞典(G3),,11,7,9,,3.0,2,吉田稔,56.0,ダ1900,良,,2:01.9,0.0,,,,,494(+10),,,オースミジェット,1200.0
40,1999/02/03,川崎,晴,10,川崎記念(G1),,12,1,1,,6.0,3,丸野勝虎,55.0,ダ2100,良,,2:17.3,0.7,,,,,484(-8),,,アブクマポーロ,1200.0
41,1999/01/03,中京(地),晴,11,新春グランプリ(G),,11,8,12,,3.0,1,丸野勝虎,51.0,ダ1700,良,,1:48.1,0.0,,,,,492(+2),,,(ダイユウカイソク),450.0
42,1998/12/13,笠松,晴,9,畜産フェア特別,,10,2,2,,1.0,1,丸野勝虎,54.0,ダ1800,良,,1:56.3,-0.4,,4,,,490(+2),,,(トミケンシルバー),115.0
43,1998/11/23,笠松,曇,7,草津温泉特別,,10,7,8,,1.0,1,丸野勝虎,55.0,ダ1400,良,,1:30.0,-0.2,,5-5-3,,,488(+4),,,(イソノネイチブ),150.0
44,1998/11/05,笠松,晴,5,C2ロ　選抜,,10,8,9,,1.0,1,丸野勝虎,54.0,ダ1400,良,,1:27.9,-0.3,,4-3-2,,,484(0),,,(セイエイスピード),53.0
45,1998/10/18,笠松,晴,10,中日スポーツ杯岐阜金(G),,9,1,1,,3.0,3,丸野勝虎,50.0,ダ1900,不,,2:05.9,1.4,,4,,,484(+6),,,フジノモンスター,136.0
46,1998/09/24,名古屋,曇,7,サラ4歳特別,,12,3,3,,1.0,1,丸野勝虎,54.0,ダ1400,重,,1:30.2,0.0,,,,,478(-2),,,(ヒノデグローバル),85.0
47,1998/09/09,名古屋,晴,8,名古屋チャレンジカッ,,12,8,11,,2.0,1,丸野勝虎,54.0,ダ1400,良,,1:31.3,-0.1,,,,,480(+2),,,(エルボタッチ),100.0
48,1998/04/14,名古屋,雨,7,サラ4歳選抜,,12,5,5,,1.0,1,丸野勝虎,54.0,ダ1400,不,,1:31.1,-0.2,,,,,478(+10),,,(ホウライラベンダー),65.0
49,1998/03/19,名古屋,曇,5,サラ4歳4組,,10,5,5,,2.0,1,丸野勝虎,54.0,ダ1400,良,,1:32.6,-0.5,,,,,468(+2),,,(ジョイスピード),58.0
50,1998/03/05,名古屋,雨,3,サラ4歳5組,,12,8,11,,3.0,1,丸野勝虎,54.0,ダ1400,稍,,1:32.7,-0.2,,,,,466(+6),,,(マルブツハミング),58.0
51,1998/02/15,名古屋,曇,3,サラ4歳6組,,12,7,10,,7.0,1,丸野勝虎,54.0,ダ1400,稍,,1:34.4,-0.7,,,,,460(+2),,,(カネミローマン),58.0
52,1998/01/19,名古屋,晴,2,サラ4歳6組,,10,7,8,,3.0,9,丸野勝虎,54.0,ダ1400,重,,1:38.2,3.9,,,,,458(+14),,,オータムクリー,
53,1997/12/26,名古屋,曇,3,サラ3歳5組,,8,4,4,,,除,丸野勝虎,54.0,ダ1400,良,,,,,,,,454(+10),,,スタークリスティ,
54,1997/11/26,名古屋,小雨,1,中央認定,,10,5,5,,9.0,4,丸野勝虎,54.0,ダ800,不,,0:50.7,1.5,,,,,444(0),,,アサヒプルミエ,30.0
