,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2020/08/31,水沢,曇,12,早涼特別,,7,6,6,20.2,4,4,鈴木祐,56,ダ1600,重,**,1:41.1,0.6,**,4-4-4-4,0.0-38.0,38.3,518(-6),,,アドマイヤロマン,7.5
1,2020/08/15,盛岡,曇,9,納涼特別,,9,8,9,3.5,2,4,山本聡哉,56,ダ1800,良,**,1:54.0,2.0,**,2-2-2-3,0.0-37.3,39.1,524(-3),,,アドマイヤロマン,8.5
2,2020/08/03,盛岡,曇,12,立秋特別,,8,7,7,5.5,3,7,鈴木祐,56,ダ1600,良,**,1:39.9,1.6,**,3-3,0.0-37.0,38.3,527(+7),,,ジェイケイブラック,
3,2020/07/05,水沢,曇,11,栗駒賞(G),,10,3,3,26.6,7,6,鈴木祐,56,ダ1400,重,**,1:27.9,1.7,**,6-6-6-7,0.0-38.7,38.6,520(+6),,,プレシャスエース,
4,2020/06/09,盛岡,晴,12,あすなろ賞(OP),,12,8,12,4.3,1,2,鈴木祐,57,ダ1800,良,**,1:54.4,1.3,**,3-3-3-3,0.0-38.1,39.1,514(-2),,,パンプキンズ,42.0
5,2020/05/26,盛岡,曇,11,青葉特別,,12,5,5,12.4,5,1,鈴木祐,56,ダ1800,良,**,1:55.0,0.0,**,4-4-4-2,0.0-38.7,38.3,516(0),,,(パンプキンズ),85.0
6,2020/05/11,水沢,晴,12,皐月特別,,12,7,9,6.0,4,5,鈴木祐,56,ダ1600,良,**,1:44.6,0.6,**,5-6-6-6,0.0-41.1,40.6,516(+15),,,マイネルストラトス,5.1
7,2020/04/14,水沢,晴,11,卯月特別,,10,4,4,5.5,3,5,鈴木祐,56,ダ1800,良,**,1:59.9,1.0,**,5-5-6-5,0.0-41.8,41.9,501(-8),,,エンドゲーム,5.1
8,2020/03/30,水沢,曇,10,桃花特別,,10,2,2,12.4,6,1,鈴木祐,56,ダ1600,良,**,1:45.4,0.0,**,2-2-2-2,0.0-40.4,40.1,509(-10),,,(センティグレード),85.0
9,2020/01/07,水沢,曇,9,睦月特別,,10,5,5,1.9,1,1,鈴木祐,56,ダ1800,不,**,1:58.9,-0.1,**,3-3-3-2,0.0-40.0,39.1,519(+6),,,(エイシンニトロ),85.0
10,2019/12/30,水沢,雨,9,歳末特別,,12,6,7,3.4,2,4,鈴木祐,56,ダ1600,不,**,1:43.4,0.2,**,3-4-3-3,0.0-40.3,40.0,513(+2),,,マリーグレイス,7.5
11,2019/11/17,盛岡,晴,11,小雪特別,,12,2,2,3.7,3,2,鈴木祐,56,ダ1600,良,**,1:39.1,0.1,**,5-4,0.0-38.7,38.4,511(-5),,,エリーティアラ,19.5
12,2019/11/04,盛岡,晴,10,朝露特別,,12,3,3,14.8,6,6,鈴木祐,56,ダ1600,良,**,1:39.5,1.0,**,5-4,0.0-38.1,38.8,516(0),,,ニットウビクトリー,
13,2019/10/21,盛岡,曇,12,紅葉特別,,12,4,4,8.5,4,4,鈴木祐,56,ダ1600,良,**,1:38.4,0.5,**,2-1,0.0-38.7,39.0,516(-4),,,ハイパーチャージ,7.5
14,2019/10/07,盛岡,曇,11,寒露特別,,12,7,9,2.6,1,9,高松亮,56,ダ1600,良,**,1:41.8,3.0,**,2-3,0.0-38.1,40.6,520(+4),,,マーブルフラッシュ,
15,2019/09/08,盛岡,曇,12,青藍賞(G),,10,1,1,58.3,7,6,高松亮,57,ダ1600,良,**,1:40.0,1.7,**,4-4,0.0-37.9,39.3,516(+4),,,エンパイアペガサス,
16,2019/08/12,盛岡,曇,12,盛岡舟っこ流し特別,,10,8,10,3.4,3,1,山本聡哉,56,ダ1600,良,**,1:38.8,-1.6,**,2-1,0.0-38.0,37.9,512(+1),,,(スカイサーベル),75.0
17,2019/07/27,盛岡,晴,10,すずらん賞(OP),,9,8,8,6.5,4,8,鈴木祐,57,ダ1600,良,**,1:40.5,2.8,**,3-5,0.0-37.9,40.1,511(+1),,,ダイチラディウス,
18,2019/06/16,水沢,雨,11,一條記念みちのく大賞(G),,10,8,10,54.6,6,7,鈴木祐,57,ダ2000,不,**,2:07.0,2.3,**,3-3-5-7,0.0-38.4,39.7,510(-1),,,ハドソンホーネット,
19,2019/05/19,盛岡,晴,12,あすなろ賞(OP),,11,5,5,11.0,5,3,鈴木祐,57,ダ1800,良,**,1:53.8,0.6,**,3-3-3-4,0.0-38.8,38.9,511(-1),,,ハドソンホーネット,21.0
20,2019/05/04,水沢,晴,12,アマリリス賞,,9,7,7,1.7,1,1,鈴木祐,56,ダ1800,稍,**,1:56.1,-1.0,**,4-3-1-1,0.0-40.5,40.1,512(-3),,,(マツリダバッハ),45.0
21,2019/04/14,水沢,曇,11,赤松杯(G),,12,6,7,20.7,5,5,鈴木祐,56,ダ1600,重,**,1:41.2,1.5,**,3-3-4-4,0.0-37.6,38.7,515(+3),,,ロジストーム,12.5
22,2019/03/23,水沢,曇,10,春光賞,,12,6,7,1.2,1,1,山本聡哉,56,ダ1600,良,**,1:45.7,-0.1,**,4-4-2-2,0.0-40.7,40.3,512(-5),,,(アドマイヤホルン),45.0
23,2018/12/17,水沢,曇,10,白嶺賞(G),,9,8,9,8.0,4,5,鈴木祐,57,ダ1600,不,**,1:41.0,1.2,**,3-3-2-4,0.0-37.6,38.5,517(-1),,,ロジストーム,12.5
24,2018/11/04,盛岡,晴,12,絆C(G),,9,7,7,12.1,4,4,高松亮,57,ダ1600,良,**,1:38.5,0.9,**,3-2,0.0-36.5,37.2,518(+2),,,メイショウアイアン,27.0
25,2018/10/07,盛岡,曇,12,寒露特別,,11,2,2,1.6,1,1,高松亮,56,ダ1600,良,**,1:39.1,-0.2,**,3-3,0.0-38.4,38.1,516(-2),,,(サインズストーム),75.0
26,2018/08/01,大井,晴,11,サンタアニタトロフィ(G),,13,6,8,315.8,13,11,高松亮,54,ダ1600,良,**,1:42.7,1.8,**,9-8-9-8,38.1-38.1,39.3,518(-1),,,ヒガシウィルウィン,
27,2018/07/10,大井,晴,11,サンタアニタトロフィ,,13,8,12,8.9,5,7,矢野貴之,57,ダ1600,良,**,1:41.9,0.4,**,5-5-5-6,36.6-39.9,39.3,519(-4),,,リコーベルリネッタ,
28,2018/06/27,大井,晴,11,帝王賞競走(G1),,15,1,1,394.5,12,12,高松亮,57,ダ2000,良,**,2:09.4,5.2,**,4-4-9-11,35.1-38.9,42.5,523(+8),,,ゴールドドリーム,
29,2018/05/22,大井,晴,11,さつき賞競走,,16,8,15,18.1,6,8,本田正重,57,ダ1600,良,**,1:42.5,1.2,**,6-7-6-6,38.2-38.6,39.1,515(+6),,,ディアブルーダー,
30,2018/05/02,船橋,雨,11,かしわ記念(G1),,12,2,2,480.3,11,9,本田正重,57,ダ1600,良,**,1:41.4,2.2,**,7-7-8-8,36.6-37.5,38.7,509(-4),,,ゴールドドリーム,
31,2018/01/26,大井,晴,11,ニューイヤー賞競走,,16,7,14,35.1,10,5,和田譲治,57,ダ1400,重,**,1:28.7,0.6,**,12-10-8,35.9-39.9,39.5,513(+1),,,リコーヴィッカース,51.0
32,2018/01/04,川崎,晴,11,大師オープン【地方交(OP),,13,6,9,46.7,7,9,笹川翼,55,ダ1600,良,**,1:44.1,1.7,**,4-5-4-5,37.5-40.1,40.9,512(-1),,,ワイルドダラー,
33,2017/11/22,浦和,曇,10,’17まがたま賞,,12,5,6,13.6,5,6,笹川翼,57,ダ1400,良,**,1:29.6,1.2,**,3-3-4-6,36.3-38.9,39.5,513(+1),,,サニーデイズ,
34,2017/11/09,川崎,晴,11,川崎ナイター競馬連絡,,12,4,4,6.1,3,10,山崎誠士,57,ダ1600,良,**,1:46.2,4.2,**,3-3-4-6,35.6-40.5,44.2,512(+1),,,エスケイアリュール,
35,2017/10/12,川崎,晴,11,富士見OP(OP),,10,4,4,6.3,4,4,山崎誠士,55,ダ2000,良,**,2:10.9,1.0,**,2-2-2-1,37.9-39.3,40.1,511(+3),,,タマモネイヴィー,75.0
36,2017/09/26,船橋,曇,11,千葉ダートマイル(OP),,9,3,3,4.0,2,3,山崎誠士,55,ダ1600,稍,**,1:42.4,1.1,**,5-4-4-4,37.2-39.7,40.4,508(+7),,,グランディオーソ,100.0
37,2017/06/13,川崎,雨,11,’17スパーキングナ,,14,4,6,2.9,1,4,山崎誠士,57,ダ1600,重,**,1:44.2,0.9,**,7-6-5-2,35.8-41.3,41.3,501(+2),,,グランフィデリオ,120.0
