,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2019/07/07,高知,晴,10,Aー2,,12,1,1,10.5,5.0,4.0,東川公則,56,ダ1400,重,**,1:31.6,0.9,**,7-6-5-2,0.0-41.1,41.2,519(+7),,,グローリング,10.5
1,2019/06/09,高知,晴,11,トーセンジョーダン賞,,9,7,8,11.8,4.0,7.0,西川敏弘,56,ダ1600,重,**,1:46.0,2.0,**,3-3-4-6,0.0-40.8,42.0,512(-7),,,パーソナルマキ,
2,2019/05/19,高知,雨,9,剛えり宮城・転勤特別,,12,8,12,9.7,5.0,1.0,林謙佑,56,ダ1400,稍,**,1:31.6,-0.5,**,3-2-2-1,0.0-40.4,40.3,519(-4),,,(ロードエスペランサ),70.0
3,2019/05/03,高知,晴,10,とれせんリポート特別,,7,1,1,4.3,3.0,6.0,林謙佑,56,ダ1600,重,**,1:45.3,1.4,**,5-6-6-6,0.0-38.7,39.3,523(+5),,,スプリングガール,
4,2019/04/21,高知,晴,7,二十四万石賞(G),,11,6,7,47.6,10.0,8.0,林謙佑,57,ダ1900,稍,**,2:10.5,2.2,**,7-6-6-5,0.0-42.2,43.5,518(+2),,,エイシンファイヤー,
5,2019/03/31,高知,晴,7,御厨人窟賞(G),,9,8,8,63.8,6.0,5.0,林謙佑,57,ダ1400,重,**,1:31.0,1.4,**,6-6-5-5,0.0-38.7,39.7,516(-3),,,サクラレグナム,25.0
6,2019/03/11,高知,晴,9,マーチ特別,,8,2,2,27.7,6.0,6.0,林謙佑,56,ダ1600,不,**,1:44.8,1.0,**,5-5-6-6,0.0-40.6,41.1,519(+4),,,キャプテンオリオン,
7,2019/03/03,高知,雨,10,アクアマリン特別,,8,5,5,11.1,4.0,3.0,林謙佑,56,ダ1400,重,**,1:32.9,1.2,**,5-5-5-5,0.0-41.8,42.4,515(-2),,,モンドクラッセ,16.0
8,2019/02/11,高知,曇,10,長浜特別,,10,8,9,17.9,4.0,5.0,林謙佑,57,ダ1400,不,**,1:29.2,0.5,**,5-4-4-5,0.0-38.9,38.6,517(-3),,,キングライオン,12.0
9,2019/01/27,高知,晴,11,睦月特別,,9,4,4,17.4,7.0,1.0,林謙佑,56,ダ1400,良,**,1:31.5,-0.3,**,5-4-4-4,0.0-40.3,39.8,520(+1),,,(キングライオン),80.0
10,2019/01/06,高知,晴,7,今年もナイター特別,,7,1,1,4.9,4.0,2.0,西川敏弘,56,ダ1400,重,**,1:31.1,0.1,**,6-5-3-2,0.0-40.1,39.7,519(-6),,,ヨッテケ,24.5
11,2018/12/15,高知,晴,5,横浜特別,,9,3,3,46.7,8.0,6.0,西川敏弘,56,ダ1600,重,**,1:47.5,1.7,**,4-5-6-5,0.0-40.0,41.1,525(+1),,,ティアップリバティ,
12,2018/12/02,高知,曇,7,ターコイズ特別,,8,3,3,6.5,5.0,3.0,林謙佑,56,ダ1400,重,**,1:31.2,1.2,**,5-5-5-4,0.0-39.4,40.1,524(+8),,,モンドクラッセ,14.0
13,2018/11/04,高知,晴,7,黒潮マイルチャンピオ(G),,11,8,11,34.6,8.0,9.0,林謙佑,57,ダ1600,良,**,1:48.1,2.8,**,5-5-8-8,0.0-40.2,42.2,516(-9),,,コスタアレグレ,
14,2018/10/21,高知,晴,11,アンライバルド賞,,9,1,1,4.5,2.0,4.0,赤岡修次,56,ダ1400,良,**,1:33.5,1.5,**,5-5-6-7,0.0-41.0,41.9,525(+2),,,エイシンファイヤー,10.0
15,2018/09/30,高知,雨,11,セプテンバー特別,,0,4,4,,,,西川敏弘,56,ダ1600,不,,,,,,,,計不,,,,
16,2018/08/19,高知,晴,11,Aー2,,12,5,5,2.0,1.0,1.0,西川敏弘,56,ダ1400,重,**,1:30.8,0.0,**,4-3-3-2,0.0-41.4,41.0,523(-4),,,(メイショウナガヨリ),60.0
17,2018/07/01,高知,曇,11,下村騎手お疲れ様特別,,8,5,5,1.6,1.0,7.0,倉兼育康,56,ダ1300,不,**,1:23.5,1.5,**,5-7-7-6,0.0-38.4,39.0,527(+7),,,エナジータウン,
18,2018/03/11,高知,晴,7,御厨人窟賞(G),,9,6,6,5.9,3.0,1.0,林謙佑,57,ダ1400,重,**,1:29.9,-0.2,**,6-6-6-2,0.0-38.7,38.2,520(+1),,,(ギンパリ),200.0
19,2018/02/25,高知,小雨,7,だるま夕日賞(G),,9,7,7,8.8,4.0,5.0,林謙佑,57,ダ1600,稍,**,1:48.6,0.8,**,3-3-3-3,0.0-40.2,40.8,519(+4),,,イッツガナハプン,10.0
20,2018/02/04,高知,晴,7,黒潮スプリンターズカ(G),,11,6,7,6.9,4.0,1.0,三村展久,57,ダ1300,重,**,1:23.9,-0.5,**,5-5-4-2,0.0-40.2,39.9,515(-4),,,(サクラインザスカイ),200.0
21,2018/01/14,高知,晴,11,ガーネット特別,,11,7,9,1.6,1.0,1.0,赤岡修次,56,ダ1600,重,**,1:46.0,-1.2,**,4-3-3-1,0.0-41.4,41.0,519(+4),,,(トウカイガンバ),70.0
22,2017/12/31,高知,晴,8,高知県知事賞(G),,12,7,10,12.9,3.0,4.0,中田貴士,57,ダ2400,重,**,2:46.2,1.1,**,5-4-2-3,,42.6,515(-2),,,フリビオン,50.0
23,2017/12/20,高知,晴,11,師走特別,,8,2,2,3.2,2.0,1.0,三村展久,56,ダ1600,良,**,1:46.0,-1.6,**,3-3-3-1,,39.9,517(-1),,,(カッサイ),70.0
24,2017/12/03,高知,晴,11,ターコイズ特別,,8,3,3,5.2,3.0,3.0,三村展久,56,ダ1600,重,**,1:44.6,0.4,**,4-3-3-2,,40.7,518(0),,,イッツガナハプン,8.8
25,2017/11/19,高知,晴,11,トパーズ特別,,7,6,6,5.8,3.0,2.0,倉兼育康,56,ダ1400,不,**,1:29.8,0.4,**,2-3-2-2,,39.5,518(+7),,,カイロス,17.5
26,2017/11/03,大井,晴,8,JBCスプリント競走(G1),,16,1,2,999.9,15.0,13.0,三村展久,57,ダ1200,重,**,1:13.6,2.2,**,11-9,34.6-36.8,38.4,511(-7),,,ニシケンモノノフ,
27,2017/10/09,高知,晴,11,オパール特別,,8,8,8,10.6,4.0,6.0,三村展久,56,ダ1600,重,**,1:45.4,0.9,**,3-3-3-5,,40.6,518(+2),,,クレスタラン,
28,2017/08/27,高知,曇,7,建依別賞(G),,10,7,8,12.6,4.0,4.0,西川敏弘,57,ダ1400,良,**,1:30.2,0.6,**,4-4-4-2,,39.5,516(+1),,,カッサイ,15.0
29,2017/07/23,高知,曇,7,トレノ賞(G),,11,6,6,9.4,5.0,2.0,中田貴士,57,ダ1300,良,**,1:23.6,0.2,**,3-3-2-3,,39.6,515(+4),,,ヒロノカイザー,50.0
30,2017/07/09,高知,曇,10,ルビー特別,,8,7,7,4.0,2.0,3.0,西川敏弘,57,ダ1600,不,**,1:43.1,0.6,**,3-3-3-2,,40.7,511(-1),,,チャオ,8.8
31,2017/06/25,高知,曇,11,パール特別,,8,5,5,1.6,1.0,4.0,倉兼育康,58,ダ1600,不,**,1:43.8,1.6,**,5-4-3-3,,39.6,512(+3),,,クレスタラン,5.2
