,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2018/03/25,3中山2,晴,11,マーチS(G3),,16,2,4,49.1,10,3,真島大輔,56,ダ1800,良,**,1:52.2,0.1,**,3-3-3-4,36.4-37.8,37.7,494(-22),,,センチュリオン,908.4
1,2018/02/07,船橋,晴,11,報知グランプリC(G),,14,1,1,3.1,2,2,真島大輔,56,ダ1800,稍,**,1:54.6,1.5,**,5-5-6-5,36.0-38.8,39.5,516(+3),,,リッカルド,420.0
2,2017/12/31,大井,曇,12,おおとりオープン競走(OP),,12,8,12,3.5,2,2,真島大輔,57,ダ1600,良,**,1:40.9,0.8,**,2-2-2-2,37.9-37.5,38.2,513(+17),,,ブルドッグボス,236.0
3,2017/11/11,5東京3,晴,11,東京中日S杯武蔵野S(G3),,16,2,3,77.0,14,11,大野拓弥,56,ダ1600,良,**,1:36.7,1.2,**,9-14,35.1-35.5,35.9,496(-2),,,インカンテーション,
4,2017/10/09,4東京3,晴,11,グリーンチャンネルC(OP),,16,8,15,13.6,6,8,大野拓弥,58,ダ1400,良,**,1:22.8,0.6,**,9-8,35.0-35.4,35.5,498(0),,,サンライズノヴァ,
5,2017/05/20,3京都9,晴,11,平安S(G3),,16,5,10,18.0,7,13,浜中俊,56,ダ1900,良,**,1:58.9,3.2,**,8-7-3-3,28.6-38.0,40.6,498(0),,,グレイトパール,
6,2017/04/15,2阪神7,晴,11,アンタレスS(G3),,16,3,5,29.4,8,3,浜中俊,56,ダ1800,良,**,1:50.2,0.3,**,9-7-10-10,36.3-36.6,36.3,498(-12),,,モルトベーネ,908.0
7,2017/01/22,1中京4,曇,11,東海テレビ杯東海S(G2),,16,8,16,13.0,5,14,浜中俊,56,ダ1800,良,**,1:54.5,1.3,**,14-15-14-15,38.1-37.1,37.5,510(+10),,,グレンツェント,
8,2016/12/04,4中京2,曇,11,チャンピオンズC(G1),,15,3,5,39.6,9,8,横山典弘,57,ダ1800,良,**,1:50.6,0.5,**,12-12-12-9,36.3-37.7,36.8,500(0),,,サウンドトゥルー,
9,2016/11/06,5京都2,曇,11,みやこS(G3),,16,4,7,17.1,7,3,浜中俊,57,ダ1800,良,**,1:50.2,0.1,**,10-10-10-8,36.2-36.8,36.1,500(+2),,,アポロケンタッキー,958.1
10,2016/09/17,4中山3,曇,11,ラジオ日本賞(OP),,9,5,5,3.5,2,3,戸崎圭太,58,ダ1800,稍,**,1:51.2,0.6,**,3-3-3-3,36.1-37.8,37.5,498(-2),,,メイショウスミトモ,552.8
11,2016/08/14,1札幌6,晴,11,エルムS(G3),,12,5,5,4.7,3,4,モレイラ,57,ダ1700,良,**,1:44.3,0.8,**,5-3-3-5,30.3-36.3,36.8,500(+4),,,リッカルド,540.0
12,2016/05/21,3京都9,晴,11,平安S(G3),,15,3,4,4.9,2,10,Ｍ．デム,57,ダ1900,良,**,1:57.8,1.6,**,4-3-4-4,30.3-37.2,38.4,496(0),,,アスカノロマン,
13,2016/04/16,2阪神7,晴,11,アンタレスS(G3),,16,2,3,4.9,2,5,横山典弘,57,ダ1800,良,**,1:50.6,0.7,**,4-5-6-4,36.2-37.4,37.6,496(-6),,,アウォーディー,360.0
14,2016/02/21,1東京8,晴,11,フェブラリーS(G1),,16,3,6,13.2,6,5,横山典弘,57,ダ1600,重,**,1:34.3,0.3,**,4-6,34.1-35.6,35.3,502(-2),,,モーニン,970.0
15,2016/01/24,1中京4,晴,11,東海テレビ杯東海S(G2),,12,5,5,3.3,1,3,横山和生,56,ダ1800,良,**,1:52.8,0.9,**,4-4-5-5,37.8-36.8,37.2,504(+4),,,アスカノロマン,1412.4
16,2015/12/06,4中京2,曇,11,チャンピオンズC(G1),,16,8,16,27.9,8,4,浜中俊,57,ダ1800,良,**,1:50.7,0.3,**,13-13-13-13,35.5-37.9,37.1,500(+2),,,サンビスタ,1400.0
17,2015/11/08,5京都2,小雨,11,みやこS(G3),,11,2,2,23.4,7,1,浜中俊,56,ダ1800,不,**,1:47.8,0.0,**,7-7-9-8,35.5-36.7,35.7,498(0),,,(カゼノコ),3739.2
18,2015/10/25,4東京7,晴,11,ブラジルC(OP),,15,1,1,3.0,1,4,Ｃ．デム,55,ダ2100,良,**,2:11.2,0.6,**,5-5-4-3,30.5-36.6,36.9,498(-2),,,ドコフクカゼ,320.0
19,2015/07/18,2福島5,雨,11,安達太良S(1600万下),,15,5,8,3.6,2,1,横山典弘,57,ダ1700,稍,**,1:43.7,0.0,**,5-4-4-5,30.3-36.6,36.2,500(0),,,(イースターパレード),1851.5
20,2015/07/04,2福島1,曇,10,猪苗代特別(1000万下),,15,6,10,2.0,1,1,ルメール,57,ダ1700,良,**,1:44.8,-0.1,**,4-5-2-3,29.7-37.2,37.1,500(-8),,,(ロジテール),1535.0
21,2015/06/13,3東京3,曇,9,八王子特別(1000万下),,14,3,4,1.7,1,2,ルメール,57,ダ2100,良,**,2:12.3,0.1,**,7-7-7-6,31.0-37.3,36.7,508(+10),,,キネオイーグル,608.4
22,2015/02/22,1東京8,曇,12,金蹄S(1600万下),,16,5,10,2.5,1,5,Ｃ．デム,56,ダ2100,良,**,2:11.2,0.5,**,3-5-5-3,30.4-39.4,39.0,498(-4),,,ナリタポセイドン,182.0
23,2015/02/01,1東京2,晴,12,4歳以上1000万下,,14,7,12,3.6,1,1,Ｃ．デム,56,ダ2100,重,**,2:12.4,-0.2,**,3-3-3-3,31.3-35.8,35.6,502(+8),,,(エルズミーア),1050.0
24,2014/04/06,3中山4,小雨,10,伏竜S(OP),,11,6,6,4.5,2,2,蛯名正義,56,ダ1800,重,**,1:53.0,0.0,**,4-5-4-3,35.9-38.7,38.3,494(0),,,ランウェイワルツ,727.0
25,2014/03/09,2中山4,晴,4,3歳500万下,,16,8,15,3.8,1,1,蛯名正義,56,ダ1800,良,**,1:55.8,-0.2,**,3-3-2-2,37.8-38.0,37.8,494(+4),,,(サトノバリアント),720.0
26,2014/02/10,1東京3,晴,10,ゆりかもめ賞(500万下),,16,3,5,22.7,8,9,蛯名正義,56,芝2400,稍,**,2:31.1,0.7,**,5-5-8-7,37.2-34.3,34.4,490(-6),,,ラングレー,
27,2014/01/18,1中山6,晴,4,3歳新馬,,16,1,1,3.4,1,1,蛯名正義,56,ダ1800,良,**,1:58.1,-0.2,**,1-1-1-1,39.9-37.2,37.2,496(0),,,(サトノアルバトロス),600.0
