,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2015/10/14,門別,曇,11,ルシナ特別,,11,6,7,13.8,7.0,10.0,服部茂史,54,ダ1200,稍,**,1:16.0,2.0,**,5-7,,39.2,462(+6),,,ウインバローラス,
1,2015/10/01,門別,雨,12,道営スプリント〔H2(G),,12,2,2,81.0,9.0,10.0,桑村真明,55,ダ1200,良,**,1:14.9,2.2,**,5-4,,39.3,456(-4),,,アウヤンテプイ,
2,2015/09/10,門別,曇,11,ロードカナロア・プレ(OP),,11,6,7,21.4,5.0,8.0,藤井勘一,55,ダ1200,良,**,1:14.9,0.9,**,1-2,,39.2,460(+8),,,グランヴァン,
3,2015/08/20,門別,晴,12,エトワール賞〔H3〕(G),,11,8,10,34.1,8.0,5.0,藤井勘一,55,ダ1200,稍,**,1:13.1,1.0,**,3-3,,37.7,452(-10),,,クリーンエコロジー,12.5
4,2015/06/25,門別,晴,6,グランシャリオ門別ス(G),,8,2,2,77.4,7.0,8.0,桑村真明,54,ダ1000,良,**,1:01.5,1.9,**,4-3,,37.6,462(-8),,,ポアゾンブラック,
5,2015/06/11,門別,晴,11,北海道スプリントカッ(G3),,14,5,7,267.9,9.0,13.0,桑村真明,54,ダ1200,良,**,1:15.0,2.5,**,8-8,,39.1,470(+10),,,シゲルカガ,
6,2015/05/13,門別,雨,10,ダイワメジャー・プレ(OP),,12,7,9,32.8,7.0,4.0,桑村真明,54,ダ1200,重,**,1:12.2,0.8,**,6-8,,36.9,460(-2),,,アウヤンテプイ,8.0
7,2015/04/23,門別,晴,11,クロフネ・プレミアム,,10,5,5,6.7,4.0,8.0,桑村真明,55,ダ1200,稍,**,1:14.1,1.5,**,1-1,,38.9,462(+2),,,クリーンエコロジー,
8,2015/03/24,浦和,晴,11,ティアラC,,9,7,7,8.9,4.0,9.0,山崎誠士,56,ダ1400,良,**,1:30.3,1.8,**,6-8-6-7,36.5-39.1,39.9,460(-6),,,クラカルメン,
9,2015/01/14,船橋,曇,11,船橋記念(G),,14,5,8,75.7,11.0,4.0,山崎誠士,53,ダ1000,良,**,0:59.7,0.7,**,9-9,34.1-36.1,35.8,466(0),,,ナイキマドリード,100.0
10,2014/12/11,浦和,曇,10,ゴールドC(G),,12,7,10,246.0,12.0,12.0,山崎誠士,56,ダ1500,稍,**,1:37.7,3.2,**,10-12-11-12,29.6-39.5,41.3,466(+1),,,リアライズリンクス,
11,2014/11/03,盛岡,曇,9,JBCスプリント(G1),,16,5,10,433.1,9.0,8.0,大畑雅章,55,ダ1200,重,,1:10.6,1.6,,10-10,,36.0,465(-10),,,ドリームバレンチノ,
12,2014/10/01,大井,曇,11,東京盃競走(G2),,11,3,3,262.1,8.0,7.0,山崎誠士,54,ダ1200,良,**,1:11.6,1.4,**,3-3,33.8-36.4,37.3,475(-10),,,ノーザンリバー,
13,2014/08/27,大井,雨,11,アフター5スター賞競(G),,12,8,11,16.6,7.0,9.0,山崎誠士,56,ダ1200,良,**,1:12.8,2.0,**,4-5,34.1-36.7,38.4,485(+13),,,サトノタイガー,
14,2014/07/21,船橋,曇,11,習志野きらっとスプリ(G),,14,7,12,87.3,10.0,5.0,山崎誠士,54,ダ1000,重,**,0:59.7,0.7,**,9-8,33.6-36.7,36.0,472(+10),,,ナイキマドリード,50.0
15,2014/04/30,浦和,雨,11,しらさぎ賞(G),,12,5,6,30.5,9.0,8.0,山崎誠士,57,ダ1400,不,**,1:29.7,1.9,**,7-9-9-8,36.2-39.0,39.4,462(-5),,,レッドクラウディア,
16,2014/04/02,大井,曇,11,東京スプリント競走(G3),,16,8,16,237.0,13.0,11.0,山崎誠士,54,ダ1200,良,**,1:13.0,2.3,**,8-11,34.2-36.5,37.8,467(+3),,,ノーザンリバー,
17,2014/02/26,大井,晴,11,フジノウェーブ記念競(G),,15,3,6,74.6,11.0,10.0,山崎誠士,56,ダ1400,良,**,1:27.1,2.0,**,7-7-7,36.4-36.7,37.9,464(+3),,,ジェネラルグラント,
18,2014/01/23,大井,晴,11,’14ウインタースプ(OP),,12,1,1,3.3,2.0,6.0,山崎誠士,56,ダ1200,良,**,1:13.6,0.9,**,8-6,34.8-37.9,38.3,461(-3),,,コウギョウダグラス,
19,2014/01/08,船橋,小雨,11,船橋記念(G),,13,3,3,4.5,4.0,4.0,山崎誠士,55,ダ1000,良,**,1:00.1,0.6,**,7-8,33.9-36.7,36.7,464(+3),,,ナイキマドリード,100.0
20,2013/11/04,金沢,曇,8,JBCレディスクラシ(G1),,12,6,8,69.4,7.0,9.0,山崎誠士,54,ダ1500,不,,1:36.6,3.3,,6-6-6-6,,40.6,461(-7),,,メーデイア,
21,2013/10/02,大井,晴,10,東京盃競走(G2),,15,4,7,5.5,4.0,8.0,山崎誠士,52,ダ1200,不,**,1:12.3,1.3,**,1-2,34.4-36.6,37.9,468(+2),,,タイセイレジェンド,
22,2013/08/28,大井,晴,11,アフター5スター賞競(G),,14,6,9,2.9,1.0,1.0,山崎誠士,50,ダ1200,重,**,1:11.5,-0.4,**,3-2,34.7-36.8,36.7,466(+5),,,(アイディンパワー),1300.0
23,2013/06/25,大井,曇,10,優駿スプリント競走(G),,16,1,1,2.4,2.0,1.0,山崎誠士,55,ダ1200,重,**,1:12.0,-0.3,**,6-6,34.8-37.2,36.5,461(+1),,,(オキナワレッド),1200.0
24,2013/06/03,大井,晴,9,優駿スプリントトライ(OP),,16,7,14,18.2,6.0,1.0,山崎誠士,55,ダ1200,良,**,1:13.3,-0.3,**,7-7,35.9-37.4,36.9,460(+5),,,(カイロス),220.0
25,2013/04/29,水沢,晴,9,留守杯日高賞(G),,12,2,2,4.8,3.0,1.0,山崎誠士,54,ダ1600,良,,1:42.9,-0.8,,1-1-1-1,,40.4,455(+2),,,(エイシンルンディー),250.0
26,2013/04/08,大井,晴,8,マーガレット特別競走,,12,8,12,9.4,5.0,2.0,山崎誠士,55,ダ1200,稍,**,1:14.5,0.3,**,10-10,35.1-39.1,38.0,453(+1),,,カイロス,66.0
27,2013/03/20,浦和,曇,9,若草特別,,12,4,4,61.4,10.0,1.0,山崎誠士,54,ダ1400,良,**,1:30.1,0.0,**,3-4-4-3,37.1-40.1,39.2,452(-5),,,(ベルフェスタ),200.0
28,2013/02/25,川崎,晴,10,うぐいす特別,,12,7,9,83.6,10.0,8.0,山崎誠士,54,ダ1600,良,**,1:46.9,2.8,**,4-4-5-3,37.1-40.2,42.7,457(-5),,,セイントスター,
29,2013/02/12,浦和,曇,7,若盛特別,,12,6,7,5.6,4.0,5.0,山崎誠士,54,ダ1500,良,**,1:38.9,0.6,**,3-3-3-2,31.5-40.7,41.1,462(+5),,,ハナタバ,22.0
30,2013/01/22,大井,晴,11,’13桃花賞競走(OP),,14,6,11,60.8,13.0,4.0,山崎誠士,54,ダ1600,不,**,1:45.5,1.5,**,5-5-2-2,36.7-41.0,42.5,457(-7),,,デイジーギャル,78.0
31,2013/01/15,浦和,晴,4,特選,,0,4,4,,,,山崎誠士,54,ダ1500,不,,,,,,,,計不,,,,
32,2012/12/18,川崎,晴,10,JRA認定競走サウン,,12,1,1,18.1,8.0,6.0,山崎誠士,54,ダ1600,稍,**,1:45.5,1.1,**,1-1-1-1,37.0-41.6,42.7,464(-3),,,ファイアーベル,
33,2012/12/03,船橋,曇,5,リバーサイドアイドル,,8,3,3,25.8,7.0,7.0,山崎誠士,54,ダ1600,重,**,1:47.5,3.2,**,6-7-7-6,37.9-40.5,43.0,467(+19),,,エスケイロード,
34,2012/10/31,船橋,曇,10,平和賞(G),,11,7,9,51.3,9.0,5.0,山崎誠士,54,ダ1600,重,**,1:45.4,2.1,**,3-4-3-4,38.8-39.1,41.1,448(-6),,,インサイドザパーク,50.0
35,2012/10/04,門別,晴,10,JRA認定ウィナーズ(OP),,14,3,3,10.2,6.0,12.0,阿部龍,54,ダ1200,良,,1:17.0,2.7,,8-9,,41.0,454(+10),,,ヨウメイモン,
36,2012/06/28,門別,晴,12,栄冠賞〔H2〕(G),,10,6,6,20.6,5.0,5.0,宮崎光行,54,ダ1200,良,,1:14.9,0.8,,5-5,,38.8,444(-4),,,シーギリヤガール,17.5
37,2012/06/14,門別,晴,9,JRA認定ウィナーズ(OP),,7,4,4,8.9,4.0,2.0,宮崎光行,54,ダ1000,良,,1:02.5,0.9,,4-4,,38.3,448(-4),,,ミータロー,40.0
38,2012/05/17,門別,晴,6,JRA認定フレッシュ(新馬),,11,2,2,5.5,3.0,1.0,宮崎光行,54,ダ1000,稍,,1:02.5,-0.1,,4-5,,38.1,452(0),,,(コスモハッシ),150.0
