,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2003/12/29,大井,晴,9,東京大賞典(G1),,16,1,1,,4,9,佐藤隆,55,ダ2000,良,,2:06.2,2.5,,4-4-8-9,34.6-39.0,40.4,507(-1),,,スターキングマン,
1,2003/11/29,4東京7,雨,11,ジャパンカップダート(G1),,16,5,10,30.3,6,10,Ｍデムー,55,ダ2100,不,,2:11.9,2.7,,3-3-3-3,29.7-38.6,40.9,508(+4),,,フリートストリートダンサー,
2,2003/11/03,大井,雨,9,JBCクラシック(G1),,15,3,4,,3,4,石崎隆之,55,ダ2000,良,,2:05.6,1.3,,8-8-8-9,36.1-38.2,38.4,504(+2),,,アドマイヤドン,1000.0
3,2003/09/30,大井,晴,10,東京記念(G),,16,6,12,,1,1,石崎隆之,57,ダ2400,良,,2:33.7,-1.4,,2-2-2-1,38.6-37.6,37.5,502(-3),,,(カイジンクン),3200.0
4,2003/06/25,大井,曇,9,帝王賞(G1),,15,5,9,,4,1,佐藤隆,55,ダ2000,不,,2:04.6,-0.9,,1-1-1-1,37.6-37.8,37.8,505(+1),,,(ビワシンセイキ),8000.0
5,2003/05/28,大井,晴,9,大井記念(G),,15,2,3,,2,1,石崎隆之,56,ダ2600,良,,2:49.0,-1.0,,4-4-1-1,38.2-37.7,37.7,504(-1),,,(ウエノマルクン),3200.0
6,2003/04/28,船橋,晴,10,マリーンC(G3),,11,4,4,,1,4,佐藤隆,56,ダ1600,良,,1:41.3,1.3,,5-6-6-6,36.9-37.8,38.7,505(-1),,,ラヴァリーフリッグ,300.0
7,2003/03/26,船橋,晴,11,ダイオライト記念(G2),,8,6,6,,3,3,佐藤隆,54,ダ2400,不,,2:30.3,0.7,,2-2-2-3,37.1-37.2,37.3,506(+8),,,カネツフルーヴ,900.0
8,2003/02/26,川崎,晴,10,エンプレス杯指定交流(G2),,10,8,10,,1,3,佐藤隆,55,ダ2100,稍,,2:16.7,0.4,,4-4-3-2,31.0-37.7,38.0,498(-1),,,ジーナフォンテン,800.0
9,2003/02/05,大井,晴,10,TCK女王盃(G3),,13,2,2,,1,1,佐藤隆,54,ダ2000,良,,2:06.7,-0.4,,3-3-4-3,37.6-37.7,37.3,499(+8),,,(ビーポジティブ),3500.0
10,2002/12/29,大井,晴,9,東京大賞典(G1),,16,5,10,,6,4,佐藤隆,55,ダ2000,良,,2:06.7,1.1,,3-2-7-7,37.1-38.3,38.7,491(-3),,,ゴールドアリュール,800.0
11,2002/12/11,大井,晴,10,ファーストレディー賞(G),,12,3,3,,1,1,佐藤隆,57,ダ1790,不,,1:51.3,-0.4,,5-5-4-2,35.7-38.1,37.8,494(+12),,,(ラヴァリーフリッグ),2000.0
12,2002/11/06,船橋,晴,11,京成盃グランドマイラ(G),,12,8,12,,2,1,佐藤隆,52,ダ1600,良,,1:39.0,-0.8,,5-4-3-2,35.9-38.5,38.0,482(-2),,,(スプリングシオン),1500.0
13,2002/09/22,2札幌6,晴,11,UHB賞(1000万下),,9,4,4,1.4,1,1,藤田伸二,55,芝2000,良,,2:03.5,-0.3,,1-1-1-1,37.3-36.8,36.8,484(+8),,,(ホッカイローツェ),1472.4
14,2002/09/01,1札幌8,曇,11,HBC賞(1000万下),,14,6,9,3.2,1,7,藤田伸二,56,芝1800,良,,1:50.1,0.3,,8-7-9-8,37.2-35.6,35.5,476(+12),,,トニーディアマンテ,
15,2002/08/11,1札幌2,曇,12,大倉山特別(1000万下),,11,5,5,6.4,4,1,藤田伸二,55,芝1800,良,,1:49.7,-0.4,,1-1-1-1,37.5-34.8,34.8,464(-6),,,(ジョウノヴィーナス),1479.4
16,2002/07/21,2函館4,晴,12,かもめ島特別(1000万下),,12,6,8,9.0,4,3,藤田伸二,55,芝1800,良,,1:55.4,0.3,,1-1-2-2,38.9-36.6,36.8,470(-4),,,マイダイナマイト,363.8
17,2002/07/06,1函館7,雨,11,函館日刊スポーツ杯(1000万下),,15,4,7,28.0,7,8,松田大作,55,芝1200,稍,,1:13.9,0.6,,5-5,35.8-37.5,37.7,474(+10),,,ヌーヴァレジェンダ,
18,2002/06/15,1函館1,曇,11,TVh杯(1000万下),,13,8,12,16.2,7,8,藤田伸二,55,芝1200,良,,1:12.4,1.2,,5-8,34.3-36.9,37.3,464(+8),,,ヤマオロチ,
19,2002/01/27,2京都2,晴,11,京都牝馬S(G3),,12,6,7,132.1,11,10,小林徹弥,52,芝1600,重,,1:36.9,0.9,,6-9,36.2-35.3,35.7,456(-2),,,ビハインドザマスク,
20,2002/01/06,1京都2,晴,11,新春S(1600万下),,16,4,7,10.6,6,8,藤田伸二,54,芝1600,良,,1:34.8,0.7,,11-10,34.2-36.4,35.2,458(-6),,,フサイチユーキャン,
21,2001/12/15,5阪神5,晴,11,逆瀬川S(1600万下),,16,8,16,62.8,13,8,小原義之,53,芝1600,良,,1:35.0,1.1,,5-5-4,35.1-35.5,36.3,464(+16),,,メイショウキオウ,
22,2001/05/20,3東京2,晴,11,優駿牝馬(G1),,18,1,2,200.4,18,10,松永幹夫,55,芝2400,良,,2:27.2,0.9,,13-12-17-14,35.2-35.1,35.1,448(+4),,,レディパステル,
23,2001/04/08,2阪神6,晴,11,桜花賞(G1),,18,5,9,95.9,12,11,松永幹夫,55,芝1600,良,,1:35.6,1.2,,6-4-3,35.4-34.9,36.0,444(0),,,テイエムオーシャン,
24,2001/03/10,2中山5,晴,10,アネモネS(OP),,13,8,12,8.2,4,4,松永幹夫,54,芝1600,良,,1:37.3,0.9,,4-3-3,35.3-37.2,37.8,444(-12),,,ダイワルージュ,370.0
25,2001/02/03,2京都3,晴,10,エルフィンS(OP),,13,4,4,6.2,3,5,松永幹夫,54,芝1600,良,,1:36.5,0.5,,6-8,35.2-36.0,36.0,456(+4),,,フローラルグリーン,190.0
26,2000/12/03,5阪神2,曇,11,阪神3歳牝馬S(G1),,18,2,3,6.1,2,10,松永幹夫,53,芝1600,良,,1:36.2,1.6,,8-12-15,35.5-35.5,36.1,452(0),,,テイエムオーシャン,
27,2000/09/02,2札幌1,雨,9,コスモス賞(OP),,11,4,4,1.7,1,1,松永幹夫,53,芝1800,稍,,1:51.0,-0.2,,3-1-1-1,36.9-37.5,37.5,452(-6),,,(ハッピールック),1623.8
28,2000/08/06,1札幌2,曇,6,3歳新馬,,10,4,4,1.5,1,1,松永幹夫,53,芝1800,良,,1:52.4,-0.3,,1-1-1-1,38.6-34.9,34.9,458(0),,,(ハッピールック),600.0
