,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2019/12/25,浦和,曇,11,ゴールドC(G),,12,7,9,461.2,12.0,11,橋本直哉,58.0,ダ1400,重,**,1:28.7,3.0,**,10-10-11-11,35.9-37.4,38.8,478(+1),,,ブルドッグボス,
1,2019/10/21,川崎,雨,11,幸OP(OP),,11,2,2,108.7,9.0,7,笹川翼,57.0,ダ1500,重,**,1:37.5,2.8,**,9-9-8-8,29.4-40.5,41.5,477(+4),,,アドマイヤゴッド,
2,2019/03/14,船橋,晴,11,柏の葉オープンかしわ(OP),,14,8,14,487.3,13.0,8,保園翔也,56.0,ダ1600,稍,**,1:42.8,1.8,**,9-9-9-9,36.3-39.5,40.0,473(-10),,,ベンテンコゾウ,
3,2019/02/06,大井,曇,11,金盃競走(G),,15,8,16,526.8,15.0,14,張田昂,56.0,ダ2600,重,**,2:57.6,7.8,**,15-15-15-14,37.4-40.9,46.2,483(+10),,,サウンドトゥルー,
4,2018/10/24,浦和,晴,11,埼玉新聞栄冠賞(G),,10,8,10,62.7,8.0,6,笹川翼,58.0,ダ1900,良,**,2:01.4,1.6,**,7-7-7-6,30.8-37.6,37.8,473(+3),,,トーセンデューク,
5,2018/08/29,大井,曇,11,アフター5スター賞競(G),,14,1,1,270.5,13.0,10,張田昂,57.0,ダ1200,重,**,1:13.4,1.6,**,13-13,34.1-37.7,37.5,470(+4),,,キタサンミカヅキ,
6,2018/06/19,船橋,曇,11,短夜賞(OP),,11,3,3,37.7,8.0,3,笹川翼,57.0,ダ1800,重,**,1:56.2,0.6,**,10-10-8-6,34.9-40.7,40.9,466(-6),,,ディアブルーダー,125.0
7,2018/05/16,川崎,晴,11,川崎マイラーズ(G),,14,5,7,61.4,10.0,9,的場文男,57.0,ダ1600,良,**,1:43.5,2.2,**,9-9-7-8,36.2-40.1,40.9,472(+3),,,ウェイトアンドシー,
8,2018/03/13,船橋,晴,11,柏の葉オープンかしわ(OP),,13,3,3,65.4,10.0,3,中野省吾,56.0,ダ1600,稍,**,1:42.9,0.7,**,8-8-9-9,37.7-39.7,39.4,469(-8),,,タービランス,100.0
9,2018/02/21,大井,曇,11,金盃競走(G),,16,1,2,77.6,13.0,12,山本聡哉,56.0,ダ2600,良,**,2:52.4,2.1,**,10-11-12-12,38.8-39.9,40.7,477(-2),,,クラージュドール,
10,2018/02/01,川崎,雨,11,多摩川オープン【地方(OP),,12,2,2,8.0,4.0,5,中野省吾,57.0,ダ1600,稍,**,1:43.7,0.8,**,6-6-7-6,37.2-39.3,39.7,479(+6),,,ジャーニーマン,50.0
11,2018/01/03,川崎,晴,11,報知オールスターカッ(G),,14,8,14,51.7,10.0,6,的場文男,56.0,ダ2100,良,**,2:19.3,1.9,**,6-5-2-2,29.4-39.3,41.0,473(-2),,,ディアドムス,
12,2017/12/20,浦和,晴,10,ゴールドC(G),,12,6,8,90.8,9.0,4,中野省吾,58.0,ダ1400,稍,**,1:28.4,0.6,**,9-9-7-5,36.6-38.3,37.8,475(+7),,,ソルテ,210.0
13,2017/12/05,船橋,晴,11,総の国OP(OP),,14,7,12,59.0,10.0,6,中野省吾,57.0,ダ1600,良,**,1:41.3,0.6,**,10-9-8-6,35.7-40.1,39.4,468(-9),,,クラージュドール,
14,2017/10/18,浦和,曇,11,埼玉新聞栄冠賞(G),,11,3,3,111.9,9.0,6,坂井英光,58.0,ダ1900,重,**,2:03.5,1.6,**,8-10-8-7,30.4-38.9,39.2,477(+5),,,カンムル,
15,2017/10/03,大井,曇,11,’17ムーンライトカ(OP),,15,2,3,230.2,14.0,7,坂井英光,57.0,ダ1600,稍,**,1:42.6,1.5,**,9-9-9-8,37.3-39.8,40.5,472(+1),,,トロヴァオ,
16,2017/07/26,大井,曇,11,サンタアニタトロフィ(G),,15,2,2,89.0,11.0,7,坂井英光,57.0,ダ1600,良,**,1:43.1,2.1,**,9-8-8-7,36.3-40.3,41.5,471(+7),,,ゴーディー,
17,2017/06/21,船橋,曇,11,京成盃グランドマイラ(G),,14,5,7,133.3,14.0,7,町田直希,56.0,ダ1600,不,**,1:42.5,1.5,**,9-9-9-8,37.0-39.2,39.9,464(0),,,リアライズリンクス,
