,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2023/10/04,大井,雨,12,トルマリン賞競走,,15,2,3,13.4,6.0,3.0,和田譲治,56,ダ1800,不,**,1:52.4,0.1,**,6-6-5-1,36.0-38.1,37.6,481(-8),,,ビシャモンテン,67.5
1,2023/06/09,大井,曇,11,スポーツ報知賞競走,,13,6,9,41.2,8.0,7.0,的場文男,55,ダ2000,不,**,2:08.0,2.0,**,3-3-6-7,35.4-38.9,40.4,489(-2),,,コバルトウィング,
2,2023/05/10,大井,晴,12,緑風賞競走,,16,5,10,6.4,3.0,10.0,吉原寛人,57,ダ1800,稍,**,1:53.8,1.2,**,9-7-6-9,36.8-38.2,39.0,491(+3),,,ハデスキーパー,
3,2023/04/20,大井,晴,11,ブリリアントカップ競(G),,15,2,3,70.7,11.0,11.0,的場文男,53,ダ1800,良,**,1:53.2,1.3,**,10-10-9-9,37.4-37.2,37.6,488(-6),,,ランリョウオー,
4,2023/03/08,大井,晴,12,ブリリアントカップト,,15,3,5,7.1,4.0,9.0,本橋孝太,55,ダ1800,良,**,1:54.8,0.9,**,10-10-13-13,38.6-37.8,37.6,494(0),,,ブリッグオドーン,
5,2023/02/20,大井,晴,11,白富士賞競走,,11,6,7,2.6,1.0,3.0,本橋孝太,57,ダ2000,良,**,2:10.2,0.5,**,7-6-7-6,39.0-37.3,37.1,494(+3),,,フラテルニテ,75.0
6,2023/01/23,大井,曇,12,ウェルカム2023賞,,14,3,4,5.0,3.0,1.0,本橋孝太,57,ダ1800,良,**,1:55.6,-0.2,**,9-7-10-9,38.1-40.3,39.0,491(-1),,,(スティルライフ),260.0
7,2022/12/28,大井,晴,12,ラストトゥインクル賞,,11,2,2,3.5,1.0,1.0,真島大輔,56,ダ1650,稍,**,1:46.3,-0.6,**,7-7-6-4,27.5-41.1,40.5,492(+3),,,(シエロフェイス),240.0
8,2022/12/05,大井,雨,12,オープス磐梯賞競走,,15,7,12,10.8,5.0,5.0,藤本現暉,56,ダ1800,重,**,1:53.7,1.4,**,12-12-12-9,37.5-37.9,38.2,489(+11),,,スミソニアン,24.0
9,2022/08/17,大井,曇,11,黒潮盃競走(G),,12,8,11,7.8,3.0,8.0,藤本現暉,56,ダ1800,重,**,1:55.9,2.4,**,10-11-11-10,38.8-38.0,39.0,478(-3),,,エスポワールガイ,
10,2022/07/13,大井,曇,11,ジャパンダートダービ(G1),,14,4,5,111.1,11.0,7.0,藤本現暉,56,ダ2000,不,**,2:07.2,2.6,**,11-11-9-7,35.5-38.4,40.3,481(-1),,,ノットゥルノ,
11,2022/06/28,大井,晴,9,ニュートラック福島賞,,14,5,8,17.2,5.0,3.0,藤本現暉,54,ダ1800,良,**,1:53.8,0.2,**,11-10-10-8,37.8-38.7,37.5,482(+3),,,ハデスキーパー,52.5
12,2022/06/08,大井,曇,7,若竹賞競走(OP),,6,2,2,3.8,2.0,1.0,藤本現暉,56,ダ1800,重,**,1:57.4,0.0,**,5-5-5-5,40.5-37.4,37.1,479(-1),,,(デルマアズラエル),340.0
13,2022/05/25,大井,晴,7,白百合特別競走,,8,3,3,52.9,8.0,1.0,藤本現暉,56,ダ1700,良,**,1:47.9,-0.3,**,6-6-5-5,31.8-39.5,38.9,480(-9),,,(ジャストメンバー),240.0
14,2022/05/13,大井,雨,1,3歳　355万,,10,6,7,27.8,8.0,3.0,藤本現暉,56,ダ1600,不,**,1:41.8,1.1,**,6-6-3-3,37.6-38.3,39.3,489(-2),,,ユウシンイモン,40.0
15,2022/04/22,大井,晴,3,3歳　358.,,12,8,12,100.7,11.0,9.0,藤本現暉,56,ダ1600,不,**,1:42.1,1.9,**,10-10-10-9,36.6-38.4,39.3,491(+17),,,ローズティアラ,
16,2022/04/01,大井,晴,1,3歳　470.,,0,3,4,,,,福原杏,56,ダ1600,不,,,,,,,,486(+12),,,,
17,2021/11/18,大井,曇,10,雷鳥特別競走,,14,7,12,78.3,10.0,6.0,和田譲治,55,ダ1700,良,**,1:51.6,1.7,**,10-9-9-9,31.5-39.8,40.8,474(-2),,,ラブリーホライズン,
18,2021/11/04,大井,晴,10,はくたか特別競走,,16,5,10,58.8,10.0,10.0,藤本現暉,55,ダ1400,稍,**,1:30.3,1.9,**,12-12-11,36.8-38.8,39.3,476(+11),,,ロマンスロード,
19,2021/10/06,大井,晴,3,2歳　161.,,11,8,10,15.1,5.0,1.0,和田譲治,55,ダ1600,稍,**,1:44.4,-0.2,**,5-5-3-3,37.4-41.8,41.3,465(-1),,,(ベルイルアンメール),260.0
20,2021/09/19,大井,晴,4,人つながる墨田区賞,,10,8,9,3.3,2.0,5.0,和田譲治,54,ダ1600,重,**,1:45.6,1.3,**,4-3-3-3,38.1-40.7,42.0,466(+3),,,ナックルボーラー,26.0
21,2021/09/06,大井,曇,3,2歳　新馬(新馬),,7,1,1,7.9,4.0,3.0,和田譲治,54,ダ1600,重,**,1:48.0,1.7,**,6-5-4-4,37.8-42.5,43.8,463(0),,,ネヴァートゥマッチ,72.5
