,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2006/12/29,大井,晴,10,東京大賞典競走(G1),,13,7,10,18.3,6.0,7.0,藤岡佑介,57.0,ダ2000,稍,,2:05.0,1.5,,4-4-3-2,34.8-37.7,39.1,478(-6),,,ブルーコンコルド,
1,2006/11/25,5東京7,晴,11,ジャパンカップダート(G1),,15,7,13,14.9,5.0,8.0,横山典弘,57.0,ダ2100,良,**,2:09.5,1.0,**,13-14-12-13,30.2-36.5,36.2,484(+6),,,アロンダイト,
2,2006/11/03,川崎,晴,10,JBCクラシック(G1),,14,3,4,4.5,2.0,4.0,横山典弘,57.0,ダ2100,良,,2:16.5,0.4,,7-7-5-5,29.8-39.3,39.6,478(-14),,,タイムパラドックス,1000.0
3,2006/08/17,旭川,曇,11,ブリーダーズゴールド(G2),,12,1,1,1.9,1.0,1.0,横山典弘,57.0,ダ2300,良,,2:31.0,-0.6,,3-3-3-1,,40.4,492(+2),,,(パーソナルラッシュ),4000.0
4,2006/06/10,3東京7,曇,11,ブリリアントS(OP),,10,2,2,2.1,1.0,3.0,藤岡佑介,58.0,ダ2100,稍,**,2:10.2,0.5,**,2-2-2-2,30.4-38.6,37.2,490(+4),,,サイレントディール,603.5
5,2006/05/21,2中京2,晴,11,東海S(G2),,13,3,3,15.0,5.0,1.0,藤岡佑介,57.0,ダ2300,良,**,2:23.6,-0.2,**,5-4-4-4,30.4-37.4,36.9,486(+2),,,(マイネルボウノット),5596.6
6,2006/03/05,1阪神4,晴,11,仁川S(OP),,15,3,5,5.4,3.0,6.0,渡辺薫彦,57.0,ダ1800,良,**,1:52.9,0.8,**,6-5-3-3,36.2-38.6,39.2,484(-4),,,エンシェントヒル,
7,2006/01/22,1京都8,曇,11,平安S(G3),,16,4,8,37.8,11.0,3.0,藤岡佑介,56.0,ダ1800,良,**,1:50.4,0.2,**,5-7-6-6,36.4-35.5,35.2,488(+6),,,タガノゲルニカ,988.1
8,2005/12/23,名古屋,曇,10,名古屋グランプリ指定(G2),,0,8,11,,,,横山典弘,56.0,ダ2500,重,,,,,,,,計不,,,,
9,2005/11/30,浦和,晴,10,彩の国浦和記念(G2),,10,2,2,,2.0,2.0,横山典弘,56.0,ダ2000,良,,2:07.4,0.6,,1-1-1-1,38.1-38.3,38.9,482(-3),,,ヴァーミリアン,1400.0
10,2005/10/04,金沢,雨,10,白山大賞典(G3),,11,1,1,,1.0,2.0,横山典弘,56.0,ダ2100,不,,2:16.7,0.2,,6-5-4-2,,,485(-5),,,グラッブユアハート,875.0
11,2005/09/03,1札幌7,晴,9,エルムS(G3),,13,2,2,3.5,1.0,5.0,横山典弘,56.0,ダ1700,良,,1:45.1,0.2,,6-6-5-5,29.9-37.9,37.7,490(+10),,,パーソナルラッシュ,390.0
12,2005/07/17,2函館2,晴,9,マリーンS(OP),,11,5,5,2.7,2.0,1.0,横山典弘,56.0,ダ1700,良,,1:43.8,-0.4,,6-6-5-5,29.3-36.5,36.2,480(0),,,(マルブツトップ),2425.9
13,2005/06/25,1函館3,曇,11,大沼S(OP),,11,1,1,2.9,1.0,4.0,横山典弘,56.0,ダ1700,良,,1:44.6,0.6,,4-3-4-4,30.0-36.5,36.8,480(-10),,,カフェオリンポス,360.0
14,2005/06/11,3東京7,曇,11,ブリリアントS(OP),,16,6,11,4.8,1.0,4.0,横山典弘,56.0,ダ2100,良,,2:10.5,0.7,,12-13-14-12,29.5-37.8,37.3,490(+10),,,テンジンムサシ,360.0
15,2005/03/27,3中山2,晴,11,マーチS(G3),,16,4,8,8.0,5.0,10.0,藤岡佑介,56.0,ダ1800,良,,1:53.6,1.6,,6-6-5-6,36.0-38.0,39.3,480(+2),,,クーリンガー,
16,2005/02/20,1東京8,小雨,11,フェブラリーS(G1),,15,7,12,87.4,11.0,9.0,岡部幸雄,57.0,ダ1600,不,,1:35.8,1.1,,9-7,34.2-36.9,36.5,478(0),,,メイショウボーラー,
17,2005/01/29,1東京1,曇,11,根岸S(G3),,16,2,3,29.5,9.0,2.0,横山典弘,56.0,ダ1400,良,,1:24.1,1.1,,4-4,35.0-35.7,36.4,478(0),,,メイショウボーラー,1617.0
18,2004/11/28,5東京8,晴,10,ジャパンカップダート(G1),,16,5,9,26.1,6.0,8.0,岡部幸雄,57.0,ダ2100,良,,2:10.5,1.8,,15-16-9-9,29.7-37.6,38.6,478(-4),,,タイムパラドックス,
19,2004/10/30,4東京7,雨,10,赤富士S(1600万下),,10,4,4,2.1,1.0,1.0,横山典弘,57.0,ダ2100,稍,,2:08.4,0.0,,5-6-4-3,30.0-36.2,35.9,482(-8),,,(ワイルドソルジャー),1824.5
20,2004/09/26,2札幌6,晴,12,オホーツクH(1000万下),,13,1,1,1.7,1.0,1.0,藤田伸二,57.5,ダ1700,良,,1:43.9,-0.7,,6-6-4-3,29.6-37.7,37.1,490(+2),,,(サンマルアンサー),1480.1
21,2004/09/18,2札幌3,曇,11,北斗賞(1000万下),,13,8,12,3.7,2.0,2.0,松永幹夫,57.0,ダ1700,良,,1:45.6,0.1,,6-6-7-4,30.6-35.7,35.4,488(-2),,,ダンツエナジー,588.6
22,2004/08/14,1札幌1,晴,11,羊蹄山特別(1000万下),,13,4,5,1.7,1.0,4.0,藤岡佑介,57.0,ダ1700,良,,1:46.3,0.7,,11-11-10-7,30.0-38.0,37.9,490(+4),,,レースウィング,220.0
23,2004/07/25,2函館4,晴,11,渡島特別(1000万下),,8,2,2,2.4,1.0,2.0,藤岡佑介,58.0,ダ1700,良,,1:46.7,0.0,,3-3-3-3,31.6-36.2,35.9,486(0),,,タイキアルファ,586.8
24,2004/07/04,1函館6,晴,12,恵山特別(1000万下),,11,1,1,5.7,3.0,1.0,藤岡佑介,57.0,ダ1700,良,,1:46.2,0.0,,8-9-7-6,30.5-37.5,36.9,486(+6),,,(ビッグクラウン),1477.3
25,2004/06/19,1函館1,雨,8,3歳以上500万下,,13,6,8,4.5,2.0,1.0,藤岡佑介,54.0,ダ1700,良,,1:45.6,-0.1,,5-6-4-2,29.3-37.1,36.9,480(-8),,,(クーカイ),750.0
26,2003/10/26,4京都6,晴,9,北野特別(1000万下),,11,7,8,134.9,11.0,9.0,横山典弘,55.0,芝1800,良,,1:47.8,0.7,,10-10,36.4-35.1,34.8,488(+2),,,ミスターユニコン,
27,2003/09/28,4阪神6,晴,11,神戸新聞杯(G2),,13,3,3,200.9,11.0,11.0,武幸四郎,56.0,芝2000,良,,2:02.9,3.4,,6-10-13-13,36.6-35.1,37.3,486(+6),,,ゼンノロブロイ,
28,2003/08/31,1札幌6,晴,12,グリーンチャンネルC(1000万下),,11,1,1,14.3,3.0,4.0,四位洋文,54.0,芝1800,良,,1:49.2,1.2,,8-6-6-3,35.9-35.7,35.9,480(-4),,,ウイングラシアス,220.0
29,2003/08/02,2函館5,雨,6,3歳以上500万下,,11,6,7,4.8,4.0,1.0,横山典弘,54.0,ダ1700,稍,,1:45.3,-0.2,,9-8-4-3,29.3-38.3,37.8,484(+2),,,(レディブライアン),750.0
30,2003/07/20,2函館2,曇,8,3歳以上500万下,,11,4,4,3.3,2.0,2.0,横山典弘,54.0,ダ1700,良,,1:48.4,0.2,,6-8-11-11,31.1-38.6,37.7,482(+10),,,サイバーシチー,300.0
