,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2023/10/21,高知,晴,5,レッドファルクス賞,,11,3,3,42.6,6.0,4,林謙佑,56,ダ1400,良,,1:32.0,0.4,,5-5-5-4,0.0-40.6,40.5,450(+2),,,アポロティアモ,75.0
1,2023/09/18,高知,曇,7,珊瑚冠賞(G),,12,5,6,2.3,1.0,6,林謙佑,57,ダ1900,重,**,2:06.9,2.1,**,6-5-6-5,0.0-42.1,42.6,448(0),,,グッドヒューマー,
2,2023/08/20,高知,晴,6,建依別賞(G),,12,7,9,9.2,3.0,4,林謙佑,57,ダ1400,重,**,1:29.6,1.2,**,6-4-4-5,0.0-39.1,39.5,448(-4),,,アポロティアモ,150.0
3,2023/07/29,高知,晴,4,サトノアラジン賞,,9,5,5,,,除,林謙佑,56,ダ1800,稍,**,,,**,,0.0-41.0,,計不,,,スペルマロン,
4,2023/06/17,高知,晴,5,カレンブラックヒル賞,,11,3,3,4.2,3.0,3,林謙佑,56,ダ1600,重,**,1:44.4,0.5,**,4-4-4-5,0.0-39.5,39.7,452(-2),,,アポロティアモ,100.0
5,2023/05/30,高知,雨,10,福永洋一記念(G),,11,8,10,2.6,1.0,4,林謙佑,57,ダ1600,不,**,1:42.6,1.2,**,3-3-3-5,0.0-38.8,39.4,454(+6),,,アポロティアモ,180.0
6,2023/04/16,高知,小雨,7,二十四万石賞(G),,11,6,7,2.1,1.0,1,林謙佑,57,ダ1900,不,**,2:04.7,0.0,**,3-3-3-1,0.0-37.5,37.4,448(-8),,,(ナムラゴロフキン),1000.0
7,2023/03/14,高知,晴,4,黒船賞[指定交流](G3),,12,8,12,127.2,7.0,6,林謙佑,56,ダ1400,不,**,1:29.6,1.3,**,7-7-6-7,0.0-38.3,38.9,456(+6),,,シャマル,
8,2023/02/12,高知,晴,4,だるま夕日賞(G),,11,8,11,6.4,3.0,1,林謙佑,57,ダ1600,重,**,1:45.4,-0.1,**,8-6-4-3,0.0-40.5,39.6,450(-3),,,(モダスオペランディ),1200.0
9,2023/01/22,高知,曇,9,ジャニュアリー特別,,8,1,1,4.3,2.0,1,永森大智,57,ダ1600,重,**,1:45.6,-0.1,**,5-5-5-3,0.0-39.4,38.8,453(0),,,(リワードアンヴァル),200.0
10,2022/12/31,高知,晴,7,高知県知事賞(G),,12,4,4,12.4,5.0,1,林謙佑,56,ダ2400,重,**,2:42.1,0.0,**,5-3-2-2,0.0-41.2,41.1,453(-4),,,(スペルマロン),2000.0
11,2022/12/04,高知,曇,11,Aー2,,9,2,2,4.5,4.0,3,林謙佑,56,ダ1600,重,**,1:46.7,0.3,**,3-6-3-5,0.0-39.4,39.3,457(+6),,,グリードパルフェ,32.0
12,2022/11/20,高知,晴,7,土佐秋月賞(G),,11,3,3,2.8,2.0,3,林謙佑,56,ダ1600,稍,**,1:46.3,0.3,**,6-7-5-5,0.0-40.3,39.8,451(+5),,,ナナコロビヤオキ,160.0
13,2022/11/02,園田,晴,11,楠賞(G),,12,3,3,11.2,5.0,4,林謙佑,56,ダ1400,良,**,1:30.2,0.6,**,7-7-7-7,0.0-38.8,38.5,446(-7),,,エコロクラージュ,300.0
14,2022/10/22,高知,晴,4,ディープブリランテ賞,,9,8,8,7.8,2.0,5,林謙佑,56,ダ1400,稍,**,1:32.0,1.5,**,5-5-6-4,0.0-39.0,39.4,453(+10),,,ララメダイユドール,50.0
15,2022/09/25,佐賀,晴,6,ロータスクラウン賞(G),,11,8,10,1.5,1.0,2,林謙佑,56,ダ2000,良,**,2:12.1,0.0,**,3-3-2-1,0.0-38.6,38.4,443(-5),,,ヴェレノ,175.0
16,2022/08/28,高知,晴,6,黒潮菊花賞(G),,12,4,4,1.7,1.0,1,林謙佑,56,ダ1900,良,**,2:08.1,-0.8,**,3-3-3-1,0.0-40.9,40.8,448(+4),,,(ヴェレノ),800.0
17,2022/08/06,高知,晴,3,魚梁瀬杉特別,,11,7,9,2.7,2.0,3,林謙佑,56,ダ1300,重,**,1:24.4,0.3,**,3-3-3-2,0.0-38.1,38.1,444(-1),,,ナナコロビヤオキ,80.0
18,2022/07/13,大井,曇,11,ジャパンダートダービ(G1),,14,7,12,142.1,12.0,9,林謙佑,56,ダ2000,不,**,2:08.0,3.4,**,9-9-9-9,35.5-38.4,41.1,445(-1),,,ノットゥルノ,
19,2022/06/12,高知,晴,7,高知優駿[地方交流(G),,12,6,8,6.6,4.0,1,林謙佑,56,ダ1900,重,**,2:07.1,-0.2,**,4-5-4-2,0.0-41.2,40.6,446(0),,,(ヴェレノ),1600.0
20,2022/05/22,高知,晴,10,山桃特別,,11,6,8,6.1,3.0,2,林謙佑,56,ダ1800,重,**,2:00.5,0.0,**,5-5-4-2,0.0-41.2,40.6,446(0),,,ヴェレノ,140.0
21,2022/05/01,高知,晴,6,黒潮皐月賞(G),,12,8,12,6.2,4.0,4,林謙佑,56,ダ1400,重,**,1:31.4,0.4,**,6-6-6-5,0.0-39.7,39.6,446(+3),,,ヴェレノ,120.0
22,2022/04/09,高知,晴,4,仙台屋桜特別,,10,8,10,4.3,2.0,1,林謙佑,56,ダ1600,良,**,1:48.4,-0.2,**,5-4-4-1,0.0-41.8,41.4,443(-2),,,(ヴェレノ),400.0
23,2022/03/21,高知,曇,5,土佐春花賞(G),,12,8,11,3.5,2.0,3,永森大智,56,ダ1300,重,**,1:24.3,0.4,**,6-5-5-7,0.0-39.7,39.5,445(0),,,マリンスカイ,120.0
24,2022/02/27,高知,晴,8,雨水特別,,11,7,8,4.0,2.0,2,林謙佑,56,ダ1300,稍,**,1:26.2,0.1,**,5-4-5-2,0.0-40.1,39.9,445(+5),,,アジアフェニックス,38.5
25,2022/02/06,高知,晴,6,土佐水木特別,,10,8,9,1.6,1.0,1,林謙佑,56,ダ1600,稍,**,1:49.1,-0.8,**,4-4-3-1,0.0-40.3,40.1,440(+3),,,(アムールジョイ),300.0
26,2022/01/18,高知,晴,4,C3ー6,,10,3,3,5.3,3.0,1,永森大智,56,ダ1400,良,**,1:33.3,-0.9,**,6-5-4-3,0.0-41.4,40.7,437(-3),,,(カフェファンタスト),50.0
27,2021/12/31,高知,晴,3,C3ー10,,10,3,3,5.2,3.0,3,林謙佑,54,ダ1300,稍,**,1:27.1,0.1,**,5-6-5-4,0.0-40.9,40.2,440(+13),,,コスタアレグレ,10.0
28,2021/12/04,高知,晴,5,鴨見カモミ生誕特別,,9,5,5,7.4,4.0,1,林謙佑,54,ダ1300,重,**,1:25.8,-0.1,**,2-2-2-2,0.0-41.3,40.5,427(-10),,,(ウィズアウィッシュ),50.0
29,2021/11/20,高知,晴,3,C3ー13,,12,8,12,46.3,6.0,4,林謙佑,54,ダ1400,稍,**,1:35.3,3.0,**,6-9-9-8,0.0-39.5,41.2,437(+1),,,グッドヒューマー,7.5
30,2021/10/28,門別,曇,4,浦河町銀聖・いくら海,,9,5,5,3.0,1.0,2,宮崎光行,55,ダ1000,重,**,1:01.2,0.0,**,8-6,0.0-37.3,36.5,436(+4),,,アークヴィルヌーブ,16.8
31,2021/10/13,門別,晴,6,2歳3組,,7,5,5,11.3,5.0,3,坂下秀樹,55,ダ1000,重,**,1:01.0,0.1,**,6-6,0.0-37.4,36.7,432(+4),,,スカイヴィーナス,12.6
32,2021/09/23,門別,曇,6,日高町ふるさと納税大,,9,8,9,34.0,6.0,6,坂下秀樹,55,ダ1000,重,**,1:01.7,1.5,**,5-5,0.0-36.7,37.2,428(-2),,,ブレイブジャンヌ,
33,2021/09/09,門別,曇,5,ホクレン「大収穫祭」,,9,4,4,12.0,5.0,7,阿部龍,54,ダ1000,不,**,1:01.1,1.2,**,8-9,0.0-36.6,36.0,430(0),,,スターオブケリー,
34,2021/08/24,門別,雨,8,2歳3組,,9,7,7,28.7,7.0,5,坂下秀樹,54,ダ1000,不,**,1:00.5,0.4,**,5-5,0.0-36.7,36.6,430(0),,,ヤマショウチェリー,4.2
35,2021/08/11,門別,晴,5,JRA認定アタックチ(未勝利),,9,1,1,14.8,5.0,5,坂下秀樹,54,ダ1000,重,**,1:01.3,0.8,**,7-7,0.0-37.0,36.9,430(+8),,,クラルージュ,7.0
36,2021/07/20,門別,晴,4,2歳未勝利(未勝利),,11,1,1,37.5,9.0,1,坂下秀樹,54,ダ1000,良,**,1:02.5,-0.5,**,3-1,0.0-38.0,37.6,422(-4),,,(リトルカレン),50.0
37,2021/07/07,門別,曇,2,2歳未勝利(未勝利),,8,8,8,82.3,8.0,6,坂下秀樹,54,ダ1100,不,**,1:08.0,0.7,**,4-3,0.0-38.2,38.4,426(0),,,カツゲキプロドット,
38,2021/06/24,門別,曇,2,2歳未勝利(未勝利),,11,1,1,67.3,8.0,9,黒澤愛斗,54,ダ1100,稍,**,1:10.6,2.5,**,10-9,0.0-37.9,39.3,426(0),,,ドラゴンゴクウ,
39,2021/06/10,門別,晴,2,2歳未勝利(未勝利),,8,2,2,69.9,8.0,6,黒澤愛斗,54,ダ1100,良,**,1:10.8,1.0,**,6-6,0.0-39.4,39.2,426(0),,,オミワタリ,
40,2021/05/25,門別,曇,5,JRA認定フレッシュ(新馬),,8,2,2,75.9,8.0,4,黒澤愛斗,54,ダ1000,稍,**,1:04.2,2.9,**,5-6,0.0-36.3,38.5,426(0),,,コパノミッキー,28.0
