,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2018/10/20,4京都6,晴,11.0,室町S(OP),,16.0,2.0,3,138.5,16,14,高倉稜,57.5,ダ1200,良,**,1:11.9,1.4,**,12-12,34.0-36.5,36.9,532(+4),,,オールドベイリー,
1,2018/08/15,盛岡,曇,10.0,クラスターC(G3),,14.0,7.0,12,11.6,6,5,石橋脩,55.0,ダ1200,良,**,1:10.7,1.6,**,7-7,0.0-34.8,35.6,528(-12),,,オウケンビリーヴ,115.0
2,2018/07/08,3中京4,晴,11.0,プロキオンS(G3),,14.0,3.0,4,117.6,13,10,幸英明,56.0,ダ1400,不,**,1:21.6,1.3,**,10-7,33.5-35.6,36.0,540(+10),,,マテラスカイ,
3,2017/07/09,3中京4,曇,11.0,プロキオンS(G3),,15.0,8.0,14,13.1,6,3,川田将雅,56.0,ダ1400,良,**,1:23.4,0.5,**,10-7,34.2-36.9,36.4,530(-2),,,キングズガード,907.9
4,2017/06/10,3東京3,晴,11.0,アハルテケS(OP),,16.0,3.0,6,16.1,7,10,石橋脩,58.0,ダ1600,良,**,1:37.3,0.7,**,5-5,35.4-36.5,36.8,532(0),,,メイショウウタゲ,
5,2017/04/19,大井,晴,11.0,東京スプリント競走(G3),,10.0,2.0,2,4.0,3,2,川田将雅,56.0,ダ1200,稍,**,1:12.7,0.0,**,7-7,35.4-37.3,36.7,532(-8),,,キタサンサジン,945.0
6,2017/03/20,2中京4,晴,11.0,夢見月S(OP),,13.0,6.0,9,14.3,5,2,川田将雅,59.0,ダ1400,良,**,1:23.3,0.2,**,7-7,34.5-36.8,36.4,540(+8),,,コウエイエンブレム,888.6
7,2017/02/19,1東京8,晴,11.0,フェブラリーS(G1),,16.0,4.0,7,267.4,16,10,石橋脩,57.0,ダ1600,良,**,1:36.0,0.9,**,11-10,34.0-36.1,36.3,532(0),,,ゴールドドリーム,
8,2017/01/29,1東京2,曇,11.0,根岸S(G3),,16.0,6.0,12,277.3,16,7,石川裕紀,56.0,ダ1400,良,**,1:23.9,0.9,**,12-9,35.0-36.1,35.9,532(-2),,,カフジテイク,
9,2016/12/04,4中京2,曇,11.0,チャンピオンズC(G1),,15.0,2.0,3,255.5,13,15,田辺裕信,57.0,ダ1800,良,**,1:53.1,3.0,**,4-4-2-2,36.3-37.7,40.6,534(+6),,,サウンドトゥルー,
10,2016/11/12,5東京3,晴,11.0,東京中日S杯武蔵野S(G3),,16.0,3.0,6,99.3,13,11,石橋脩,56.0,ダ1600,重,**,1:35.0,1.2,**,9-11,34.5-35.5,35.8,528(+10),,,タガノトネール,
11,2016/08/14,1札幌6,晴,11.0,エルムS(G3),,12.0,7.0,9,14.1,6,6,福永祐一,56.0,ダ1700,良,**,1:44.6,1.1,**,7-8-3-4,30.3-36.3,37.1,518(-14),,,リッカルド,
12,2016/07/10,3中京4,晴,11.0,プロキオンS(G3),,15.0,3.0,4,10.1,5,4,石橋脩,56.0,ダ1400,稍,**,1:22.5,0.4,**,5-3,34.1-36.7,36.8,532(0),,,ノボバカラ,540.0
