,日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
0,2017/01/03,川崎,晴,11,報知オールスターカッ(G),,14,8,14,23.1,6.0,中,吉原寛人,58,ダ2100,良,**,,,**,2-2-13,30.3-39.0,,554(-5),,,ケイアイレオーネ,
1,2016/11/22,浦和,晴,10,浦和記念(G2),,11,5,5,96.9,6.0,7,石崎駿,57,ダ2000,重,**,2:10.5,3.5,**,4-4-5-5,35.8-39.1,42.0,559(+1),,,ケイティブレイブ,
2,2016/11/03,川崎,晴,11,JBCクラシック(G1),,14,4,5,694.2,9.0,10,石崎駿,57,ダ2100,重,**,2:19.3,4.0,**,1-1-6-7,30.8-38.8,42.6,558(+3),,,アウォーディー,
3,2016/03/09,船橋,雨,11,ダイオライト記念(G2),,12,5,5,88.3,6.0,8,石崎駿,56,ダ2400,不,**,2:39.6,3.2,**,2-2-4-5,37.3-38.3,41.2,555(0),,,クリソライト,
4,2016/02/10,大井,晴,11,金盃競走(G),,16,5,10,3.2,1.0,5,石崎駿,56,ダ2600,良,**,2:52.1,1.9,**,5-5-5-5,38.6-39.6,41.0,555(+1),,,ジャルディーノ,110.0
5,2016/01/27,川崎,晴,11,川崎記念[指定交流](G1),,13,4,5,341.9,8.0,7,石崎駿,57,ダ2100,良,**,2:16.1,2.0,**,1-1-1-1,30.4-39.0,41.0,554(-7),,,ホッコータルマエ,
6,2015/12/29,大井,晴,10,東京大賞典競走(G1),,14,5,7,72.6,7.0,8,石崎駿,57,ダ2000,良,**,2:05.5,2.5,**,5-5-6-8,36.7-37.8,39.2,561(+1),,,サウンドトゥルー,
7,2015/12/02,浦和,曇,10,浦和記念(G2),,11,6,7,18.0,6.0,2,石崎駿,57,ダ2000,良,**,2:06.3,0.4,**,2-2-2-1,36.5-38.4,38.2,560(+2),,,ハッピースプリント,1225.0
8,2015/11/03,大井,晴,10,JBCクラシック競走(G1),,16,7,14,319.9,9.0,7,石崎駿,57,ダ2000,不,**,2:06.3,1.9,**,3-3-6-6,36.8-37.0,38.3,558(-5),,,コパノリッキー,
9,2015/10/07,船橋,晴,11,日本テレビ盃(G2),,12,2,2,45.6,4.0,5,石崎駿,57,ダ1800,良,**,1:53.3,3.1,**,3-3-3-5,34.8-38.1,40.5,563(+13),,,サウンドトゥルー,160.0
